"Marker","Best_Condition","Worst_Condition","Min_CV","Max_CV","CV_Range","Failed_Conditions","Excluded_Conditions"
"CD11b","1_Fresh","3_Lyophilized_automated",0.347765349935921,0.733985284242624,0.386219934306703,0,0
"CD8","1_Fresh","3_Lyophilized_automated",0.576626085197217,0.790583503609231,0.213957418412014,0,0
"Ki67","1_Fresh","3_Lyophilized_automated",0.40604874718179,0.608957677676638,0.202908930494848,0,0
"PD1","1_Fresh","3_Lyophilized_automated",0.427290521635594,0.598383251539024,0.17109272990343,0,0
"FoxP3","1_Fresh","3_Lyophilized_automated",0.154771730781189,0.320931306282627,0.166159575501437,0,0
"CD3","1_Fresh","3_Lyophilized_automated",0.716192360141142,0.867396693291814,0.151204333150672,0,0
"H3K27me3","1_Fresh","3_Lyophilized_automated",0.129931843175263,0.277414322040972,0.147482478865709,0,0
"HLADRA","1_Fresh","3_Lyophilized_automated",0.168983239205788,0.269597347379473,0.100614108173685,0,0
"CD15","2_Lyophilized_manual","1_Fresh",0.706378796621458,0.806930123092507,0.100551326471049,0,0
"CD56","1_Fresh","3_Lyophilized_automated",0.31753710785885,0.41759956995316,0.10006246209431,0,0
"H3K27ac","2_Lyophilized_manual","3_Lyophilized_automated",0.116836122662682,0.215742978308541,0.0989068556458586,0,0
"CD20","1_Fresh","3_Lyophilized_automated",0.222355569032441,0.318053842417275,0.0956982733848337,0,0
"CD45","1_Fresh","3_Lyophilized_automated",0.125117413743655,0.216782695403886,0.0916652816602307,0,0
"PAX5","1_Fresh","3_Lyophilized_automated",0.210334794494678,0.27074614914552,0.0604113546508428,0,0
"GranzymeB","2_Lyophilized_manual","3_Lyophilized_automated",0.241232913253017,0.295602133172348,0.0543692199193318,0,0
"NaKATPase","1_Fresh","3_Lyophilized_automated",0.15744036874184,0.21030610028537,0.0528657315435307,0,0
"CD68","1_Fresh","3_Lyophilized_automated",0.247845857419098,0.290355284628872,0.0425094272097743,0,0
