"Staining_condition","Marker","CV","Is_Excluded"
"Novartis_Tonsil_slide1","CD3",0.461487637876307,FALSE
"Novartis_Tonsil_slide1","CD45RA",0.0784508250233168,FALSE
"Novartis_Tonsil_slide1","CD8",0.244712334699274,FALSE
"Novartis_Tonsil_slide1","CD68",0.0997618968037502,FALSE
"Novartis_Tonsil_slide1","CD11c",0.264868587013458,FALSE
"Novartis_Tonsil_slide1","HLADR",0.121459733417324,FALSE
"Novartis_Tonsil_slide1","Ki67",0.358616127153049,FALSE
"Novartis_Tonsil_slide1","GranzymeB",0.146877361877812,FALSE
"Novartis_Tonsil_slide1","ECadherin",0.659165245781131,FALSE
"Novartis_Tonsil_slide1","CD15",0.219106038908114,FALSE
"Novartis_Tonsil_slide2","CD3",0.291286381867704,FALSE
"Novartis_Tonsil_slide2","CD45RA",0.053188008491884,FALSE
"Novartis_Tonsil_slide2","CD8",NA,TRUE
"Novartis_Tonsil_slide2","CD68",0.0649233575182353,FALSE
"Novartis_Tonsil_slide2","CD11c",0.19353146574731,FALSE
"Novartis_Tonsil_slide2","HLADR",0.0929549418425033,FALSE
"Novartis_Tonsil_slide2","Ki67",0.276212363500895,FALSE
"Novartis_Tonsil_slide2","GranzymeB",0.0972115082435929,FALSE
"Novartis_Tonsil_slide2","ECadherin",0.655000407924591,FALSE
"Novartis_Tonsil_slide2","CD15",0.175727325182573,FALSE
"Novartis_Tonsil_slide24","CD3",0.481322907257674,FALSE
"Novartis_Tonsil_slide24","CD45RA",0.0838115920176299,FALSE
"Novartis_Tonsil_slide24","CD8",NA,TRUE
"Novartis_Tonsil_slide24","CD68",0.113309969245285,FALSE
"Novartis_Tonsil_slide24","CD11c",0.245839222637448,FALSE
"Novartis_Tonsil_slide24","HLADR",0.152366605269557,FALSE
"Novartis_Tonsil_slide24","Ki67",NA,TRUE
"Novartis_Tonsil_slide24","GranzymeB",0.177572498233396,FALSE
"Novartis_Tonsil_slide24","ECadherin",0.73186931215395,FALSE
"Novartis_Tonsil_slide24","CD15",0.298825804448771,FALSE
"Novartis_Tonsil_slide3","CD3",0.436244102642008,FALSE
"Novartis_Tonsil_slide3","CD45RA",0.0713195607418606,FALSE
"Novartis_Tonsil_slide3","CD8",0.262737890725917,FALSE
"Novartis_Tonsil_slide3","CD68",0.0938175556162503,FALSE
"Novartis_Tonsil_slide3","CD11c",0.256468797439311,FALSE
"Novartis_Tonsil_slide3","HLADR",0.128360290544295,FALSE
"Novartis_Tonsil_slide3","Ki67",0.426515844720738,FALSE
"Novartis_Tonsil_slide3","GranzymeB",0.142362269115567,FALSE
"Novartis_Tonsil_slide3","ECadherin",0.792541663809522,FALSE
"Novartis_Tonsil_slide3","CD15",0.256435820576202,FALSE
