"Staining_condition","Marker","CV","Is_Excluded","Z_score"
"Novartis_tonsil_Citra_20min","CD3",0.0837777980182873,FALSE,-0.35492863626753
"Novartis_tonsil_Citra_20min","CD8",NA,TRUE,NA
"Novartis_tonsil_Citra_20min","CD68",0.11246175490507,FALSE,0.896087658485826
"Novartis_tonsil_Citra_20min","CD11c",0.0651338233118347,FALSE,-0.610638908029701
"Novartis_tonsil_Citra_20min","HLADR",0.10942194537227,FALSE,1.17465240202883
"Novartis_tonsil_Citra_20min","Ki67",NA,TRUE,NA
"Novartis_tonsil_Citra_20min","Granzyme B",0.0494372206050663,FALSE,1.09423952804334
"Novartis_tonsil_Citra_20min","ECadherin",0.11836126546998,FALSE,-1.1363030761165
"Novartis_tonsil_Citra_20min","CD15",0.0584119023931464,FALSE,1.26904361012531
"Novartis_tonsil_Tris_10min","CD3",0.081263272535121,FALSE,-0.454677591880505
"Novartis_tonsil_Tris_10min","CD8",0.061047718999643,FALSE,-0.707106781186547
"Novartis_tonsil_Tris_10min","CD68",0.0895808607536391,FALSE,-0.0476665216634253
"Novartis_tonsil_Tris_10min","CD11c",0.0638295346871295,FALSE,-0.720887367185396
"Novartis_tonsil_Tris_10min","HLADR",0.0870124083620722,FALSE,0.0171937824387001
"Novartis_tonsil_Tris_10min","Ki67",0.0986722254384447,FALSE,0.0863909865725021
"Novartis_tonsil_Tris_10min","Granzyme B",0.031264159751305,FALSE,-0.669289313537134
"Novartis_tonsil_Tris_10min","ECadherin",0.125842524828859,FALSE,0.393212055945606
"Novartis_tonsil_Tris_10min","CD15",0.0358965051954202,FALSE,-0.544115966996001
"Novartis_tonsil_Tris_20min","CD3",0.130194183073508,FALSE,1.48636745064188
"Novartis_tonsil_Tris_20min","CD8",0.0771645164077216,FALSE,0.707106781186548
"Novartis_tonsil_Tris_20min","CD68",0.103673680045644,FALSE,0.533611335263589
"Novartis_tonsil_Tris_20min","CD11c",0.0894777421131245,FALSE,1.44709546672196
"Novartis_tonsil_Tris_20min","HLADR",0.0881990299617924,FALSE,0.0784831075221632
"Novartis_tonsil_Tris_20min","Ki67",0.106112264816003,FALSE,0.954001803179835
"Novartis_tonsil_Tris_20min","Granzyme B",0.0441651665992638,FALSE,0.582635051041972
"Novartis_tonsil_Tris_20min","ECadherin",0.129646663890158,FALSE,1.17095387448311
"Novartis_tonsil_Tris_20min","CD15",0.0461552097764989,FALSE,0.282015071097324
"Novartis_tonsil_Tris_40min","CD3",0.0756648685704915,FALSE,-0.676761222493848
"Novartis_tonsil_Tris_40min","CD8",NA,TRUE,NA
"Novartis_tonsil_Tris_40min","CD68",0.0572297605274514,FALSE,-1.38203247208599
"Novartis_tonsil_Tris_40min","CD11c",0.0709907196770247,FALSE,-0.115569191506868
"Novartis_tonsil_Tris_40min","HLADR",0.0620846956131674,FALSE,-1.27032929198969
"Novartis_tonsil_Tris_40min","Ki67",0.0890096952977616,FALSE,-1.04039278975234
"Novartis_tonsil_Tris_40min","Granzyme B",0.0277780398889454,FALSE,-1.00758526554818
"Novartis_tonsil_Tris_40min","ECadherin",0.121826432259428,FALSE,-0.42786285431222
"Novartis_tonsil_Tris_40min","CD15",0.0301492294569141,FALSE,-1.00694271422663
