"Marker","Condition1","Condition2","Cohens_d","Size_of_effect","Lower_CI","Upper_CI"
"CD11b","Run2","Run1",-0.857539746971982,"",-0.862336227279932,-0.852743266664032
"CD11c","Run2","Run1",0.301357419166975,"medium",0.296741286787247,0.305973551546702
"CD138","Run2","Run1",-0.169362198849739,"",-0.173960572671503,-0.164763825027975
"CD15","Run2","Run1",-0.779263080921026,"",-0.784024256200178,-0.774501905641873
"CD20","Run2","Run1",0.0249270197746267,"small",0.0203366891119968,0.0295173504372566
"CD3","Run2","Run1",-0.0248734883062644,"",-0.0294638182041288,-0.0202831584084
"CD31","Run2","Run1",-0.370338745173707,"",-0.37496807636944,-0.365709413977974
"CD45","Run2","Run1",0.572842734204688,"medium",0.568159388111851,0.577526080297526
"CD45RA","Run2","Run1",-0.413655599401497,"",-0.41829458062215,-0.409016618180844
"CD68","Run2","Run1",-0.515910475271868,"",-0.520576360279605,-0.511244590264132
"CD8","Run2","Run1",-0.229446695123801,"",-0.23405192585746,-0.224841464390142
"Cytokeratin","Run2","Run1",-0.790556297072281,"",-0.795322373061017,-0.785790221083544
"FoxP3","Run2","Run1",-0.506395575346377,"",-0.511058714305589,-0.501732436387165
"GranzymeB","Run2","Run1",-0.236327718533372,"",-0.240933865621131,-0.231721571445614
"H3K27ac","Run2","Run1",-0.360159689588907,"",-0.364786905167702,-0.355532474010113
"H3K27me3","Run2","Run1",1.31749529299932,"large",1.31243160015097,1.32255898584768
"HLADRA","Run2","Run1",-0.287543596089492,"",-0.292157407248663,-0.282929784930322
"Hoechst","Run2","Run1",-0.000755925190598234,"",-0.00534607776514596,0.00383422738394949
"IDO1","Run2","Run1",-0.433718360394823,"",-0.438362164942912,-0.429074555846734
"Ki67","Run2","Run1",-0.159718710771054,"",-0.16431617571658,-0.155121245825527
"NAKATPase","Run2","Run1",0.321647062744378,"medium",0.317027325847705,0.326266799641052
"PD1","Run2","Run1",-0.45448443374688,"",-0.459133465595715,-0.449835401898044
"Pax5","Run2","Run1",-0.385386456846736,"",-0.390019021697776,-0.380753891995696
"ToxTox2","Run2","Run1",-0.238571449937841,"",-0.243177901639261,-0.23396499823642
"pS6","Run2","Run1",-0.216610575626639,"",-0.221214168867258,-0.21200698238602
