marker,.y.,n,statistic,df,p,method,p.adj,p.adj.signif
CD11b,value,729328,169784.33348878115,1,0,Kruskal-Wallis,0,****
CD11c,value,729328,26371.869285945304,1,0,Kruskal-Wallis,0,****
CD138,value,729328,10649.878814304277,1,0,Kruskal-Wallis,0,****
CD15,value,729328,215887.17834547246,1,0,Kruskal-Wallis,0,****
CD20,value,729328,495.95301533542676,1,7.22e-110,Kruskal-Wallis,7.847826086956521e-110,****
CD3,value,729328,37.969176852902145,1,7.19e-10,Kruskal-Wallis,7.19e-10,****
CD31,value,729328,50177.712377246884,1,0,Kruskal-Wallis,0,****
CD45,value,729328,122012.00381356222,1,0,Kruskal-Wallis,0,****
CD45RA,value,729328,41425.171374258294,1,0,Kruskal-Wallis,0,****
CD68,value,729328,85067.24347347095,1,0,Kruskal-Wallis,0,****
CD8,value,729328,14065.662438468627,1,0,Kruskal-Wallis,0,****
Cytokeratin,value,729328,204375.65114992546,1,0,Kruskal-Wallis,0,****
FoxP3,value,729328,166105.3584391035,1,0,Kruskal-Wallis,0,****
GranzymeB,value,729328,35742.87724929273,1,0,Kruskal-Wallis,0,****
H3K27ac,value,729328,42602.4738762667,1,0,Kruskal-Wallis,0,****
H3K27me3,value,729328,268409.98811110854,1,0,Kruskal-Wallis,0,****
HLADRA,value,729328,15669.30062155881,1,0,Kruskal-Wallis,0,****
Hoechst,value,729328,53.92751774436866,1,2.08e-13,Kruskal-Wallis,2.1666666666666669e-13,****
IDO1,value,729328,65748.69644221828,1,0,Kruskal-Wallis,0,****
Ki67,value,729328,5671.4662743613635,1,0,Kruskal-Wallis,0,****
NAKATPase,value,729328,69288.48346686634,1,0,Kruskal-Wallis,0,****
PD1,value,729328,71569.82995875702,1,0,Kruskal-Wallis,0,****
Pax5,value,729328,26266.928531327525,1,0,Kruskal-Wallis,0,****
ToxTox2,value,729328,16536.728399491938,1,0,Kruskal-Wallis,0,****
pS6,value,729328,11218.990820101288,1,0,Kruskal-Wallis,0,****
