"feature","group","avgExpr","logFC","statistic","auc","pval","padj","pct_in","pct_out","ident.1","ident.2"
"Hoechst","Run1",0.670674114847494,0.000115872669375294,65828969560.5,0.49503538035596,2.0802226284601e-13,2.1668985713126e-13,100,99.8004903019156,"Run2","Run1"
"CD3","Run1",0.683865101343118,0.00415219717089244,67043114408.25,0.504165777816622,7.18724247151545e-10,7.18724247151545e-10,99.9215807127075,99.8783810744554,"Run2","Run1"
"CD45","Run1",0.741946445585183,-0.0714600441353008,35086758838.25,0.26385324155785,0,0,99.9031453013089,99.8966922385261,"Run2","Run1"
"CD15","Run1",0.205473815335817,0.0848956818438699,108260161557.219,0.814118929882706,0,0,99.7325489570235,99.4375466319757,"Run2","Run1"
"CD8","Run1",0.496763840196482,0.0478560456212694,77151228302.375,0.580179029120225,0,0,99.8629726137836,99.7903781665332,"Run2","Run1"
"CD11b","Run1",0.574037204398184,0.105434511254826,103532512550.125,0.778566899522193,0,0,99.8227999262584,99.8884932098377,"Run2","Run1"
"ToxTox2","Run1",0.72398144134522,0.029723149561072,78049914292.125,0.586937168640358,0,0,99.9174533817974,99.8824805887996,"Run2","Run1"
"CD20","Run1",0.755930405986177,-0.00338656827989092,64487074422.125,0.484944297742054,7.21937022677531e-110,7.84714155084273e-110,99.8844347345163,99.9152767035532,"Run2","Run1"
"CD11c","Run1",0.630782008034218,-0.0387162046836425,51889857818,0.390212936235352,0,0,99.8957161056707,99.9040713643457,"Run2","Run1"
"H3K27me3","Run1",0.602379037020673,-0.150311877223981,19913298435.5,0.149748466837229,0,0,99.8585701274795,99.9409669934435,"Run2","Run1"
"Ki67","Run1",0.546070909213763,0.0315725881863206,73259476073,0.550912961946726,0,0,99.9303856853158,99.8696354438544,"Run2","Run1"
"HLADRA","Run1",0.715362812471747,0.03450314216582,77742622742.5,0.584626329048543,0,0,99.9292850637397,99.8707286476795,"Run2","Run1"
"pS6","Run1",0.782134406525496,0.0191385652011793,76011380659.25,0.571607348364328,0,0,99.9570757585346,99.8431252510953,"Run2","Run1"
"CD68","Run1",0.620107931139104,0.0466345973293393,92709760921.625,0.697179555854469,0,0,99.9259831990116,99.8740082591549,"Run2","Run1"
"FoxP3","Run1",0.750112661105241,0.0453426582874569,103128977378.25,0.77553230565524,0,0,99.905346544461,99.8945058308759,"Run2","Run1"
"PD1","Run1",0.654833503792459,0.065691151002661,90539789060.625,0.680861317049521,0,0,99.8354570743828,99.5840359445418,"Run2","Run1"
"Pax5","Run1",0.775468093902782,0.0518252689601968,81059378239.375,0.609568407435996,0,0,99.9559751369586,99.8442184549204,"Run2","Run1"
"H3K27ac","Run1",0.856498917201727,0.0295662573021042,85044924206.875,0.6395398056991,0,0,99.9628540218088,99.8373859310134,"Run2","Run1"
"GranzymeB","Run1",0.621659431706959,0.0189379359345734,83485529872.875,0.62781312408141,0,0,99.9251577328296,99.8748281620237,"Run2","Run1"
"CD31","Run1",0.804767818243605,0.0311069728211236,86627184811,0.651438442199333,0,0,99.9466198535623,99.8535106874339,"Run2","Run1"
"IDO1","Run1",0.644599408871588,0.0313765782585449,89540969511.75,0.673350170838583,0,0,99.9441434550162,99.8559703960404,"Run2","Run1"
"CD138","Run1",0.717621710165483,0.0145913788394086,75766718018.25,0.569767479620294,0,0,99.9268086651937,99.8731883562861,"Run2","Run1"
"NAKATPase","Run1",0.824443547537017,-0.0248629590078751,42824943710.375,0.322044571560616,0,0,99.9424925226522,99.8576102017781,"Run2","Run1"
"CD45RA","Run1",0.792967774181862,0.0530588119415122,84786737058,0.637598232341661,0,0,99.9590018462927,99.8412121444013,"Run2","Run1"
"Cytokeratin","Run1",0.661262507582992,0.067430522489502,107131252583.75,0.805629508176739,0,0,99.9609279340508,99.8392990377073,"Run2","Run1"
"Hoechst","Run2",0.670558242178118,-0.000115872669375294,67149342590.25,0.504964616213029,2.08030154622166e-13,2.16698077731423e-13,99.8004903019156,100,"Run2","Run1"
"CD3","Run2",0.679712904172225,-0.00415219717089266,65935197742.5,0.495834218752368,7.18701207275996e-10,7.18701207275996e-10,99.8783810744554,99.9215807127075,"Run2","Run1"
"CD45","Run2",0.813406489720484,0.0714600441353008,97891553312.5,0.73614675501114,0,0,99.8966922385261,99.9031453013089,"Run2","Run1"
"CD15","Run2",0.120578133491947,-0.08489568184387,24718149565.5234,0.185881058955641,0,0,99.4375466319757,99.7325489570235,"Run2","Run1"
"CD8","Run2",0.448907794575213,-0.0478560456212692,55827083848.375,0.419820967448765,0,0,99.7903781665332,99.8629726137836,"Run2","Run1"
"CD11b","Run2",0.468602693143357,-0.105434511254826,29445799585.1562,0.221433096930471,0,0,99.8884932098377,99.8227999262584,"Run2","Run1"
"ToxTox2","Run2",0.694258291784148,-0.029723149561072,54928397858.625,0.413062827928631,0,0,99.8824805887996,99.9174533817974,"Run2","Run1"
"CD20","Run2",0.759316974266068,0.00338656827989059,68491237728.625,0.515055698826935,7.22018785678143e-110,7.84803027911025e-110,99.9152767035532,99.8844347345163,"Run2","Run1"
"CD11c","Run2",0.66949821271786,0.0387162046836427,81088454332.75,0.609787060333637,0,0,99.9040713643457,99.8957161056707,"Run2","Run1"
"H3K27me3","Run2",0.752690914244653,0.150311877223981,113065013715.25,0.85025152973176,0,0,99.9409669934435,99.8585701274795,"Run2","Run1"
"Ki67","Run2",0.514498321027442,-0.0315725881863206,59718836077.75,0.449087034622264,0,0,99.8696354438544,99.9303856853158,"Run2","Run1"
"HLADRA","Run2",0.680859670305927,-0.0345031421658201,55235689408.25,0.415373667520446,0,0,99.8707286476795,99.9292850637397,"Run2","Run1"
"pS6","Run2",0.762995841324317,-0.0191385652011793,56966931491.5,0.428392648204661,0,0,99.8431252510953,99.9570757585346,"Run2","Run1"
"CD68","Run2",0.573473333809764,-0.0466345973293393,40268551229.125,0.30282044071452,0,0,99.8740082591549,99.9259831990116,"Run2","Run1"
"FoxP3","Run2",0.704770002817784,-0.0453426582874572,29849334772.5,0.224467690913749,0,0,99.8945058308759,99.905346544461,"Run2","Run1"
"PD1","Run2",0.589142352789798,-0.065691151002661,42438523090.125,0.319138679519468,0,0,99.5840359445418,99.8354570743828,"Run2","Run1"
"Pax5","Run2",0.723642824942586,-0.0518252689601968,51918933911.375,0.390431589132994,0,0,99.8442184549204,99.9559751369586,"Run2","Run1"
"H3K27ac","Run2",0.826932659899622,-0.0295662573021042,47933387943.875,0.360460190869889,0,0,99.8373859310134,99.9628540218088,"Run2","Run1"
"GranzymeB","Run2",0.602721495772385,-0.0189379359345734,49492782277.875,0.37218687248758,0,0,99.8748281620237,99.9251577328296,"Run2","Run1"
"CD31","Run2",0.773660845422482,-0.0311069728211232,46351127339.75,0.348561554369656,0,0,99.8535106874339,99.9466198535623,"Run2","Run1"
"IDO1","Run2",0.613222830613043,-0.0313765782585449,43437342639,0.326649825730406,0,0,99.8559703960404,99.9441434550162,"Run2","Run1"
"CD138","Run2",0.703030331326074,-0.0145913788394086,57211594132.5,0.430232516948695,0,0,99.8731883562861,99.9268086651937,"Run2","Run1"
"NAKATPase","Run2",0.849306506544891,0.0248629590078748,90153368440.375,0.677955425008373,0,0,99.8576102017781,99.9424925226522,"Run2","Run1"
"CD45RA","Run2",0.739908962240349,-0.0530588119415122,48191575092.75,0.362401764227329,0,0,99.8412121444013,99.9590018462927,"Run2","Run1"
"Cytokeratin","Run2",0.59383198509349,-0.067430522489502,25847059567,0.194370488392251,0,0,99.8392990377073,99.9609279340508,"Run2","Run1"
