"Staining_condition","Marker","CV","Is_Excluded","Z_score"
"Roche_Intestine_Citra_20min","CD8",0.0740460785939961,FALSE,0.323104854236908
"Roche_Intestine_Citra_20min","CD3",0.130989909744945,FALSE,0.646813265838501
"Roche_Intestine_Citra_20min","CD20",0.0999365407573919,FALSE,0.025655232357287
"Roche_Intestine_Citra_20min","CD34",0.236202392997604,FALSE,1.27529540491042
"Roche_Intestine_Citra_20min","CD45",0.101068019616203,FALSE,1.00823702070494
"Roche_Intestine_Citra_20min","CD4",0.179403559182247,FALSE,0.993853183599084
"Roche_Intestine_Citra_20min","Iba1",0.303623809560951,FALSE,1.48529509629187
"Roche_Intestine_Citra_20min","Ki67",0.197310084700729,FALSE,1.21293178168634
"Roche_Intestine_Citra_20min","S100b",0.347359038992848,FALSE,1.34262203471423
"Roche_Intestine_Citra_20min","CK",0.072159698645303,FALSE,-0.199584742079032
"Roche_Intestine_Citra_20min","CD68",0.134484972463927,FALSE,0.524490691567488
"Roche_Intestine_Citra_20min","Vimentin",0.144836675305092,FALSE,0.779328319763283
"Roche_Intestine_Tris_10min","CD8",0.0501720645083033,FALSE,-1.4845757338282
"Roche_Intestine_Tris_10min","CD3",0.100835999705466,FALSE,-1.44398111081778
"Roche_Intestine_Tris_10min","CD20",0.0526151510368276,FALSE,-1.23446596806697
"Roche_Intestine_Tris_10min","CD34",0.136801070729007,FALSE,-1.14271966059656
"Roche_Intestine_Tris_10min","CD45",0.0499028547897429,FALSE,-1.22140038987177
"Roche_Intestine_Tris_10min","CD4",0.0945746574265404,FALSE,-1.37633326293906
"Roche_Intestine_Tris_10min","Iba1",0.108343826814496,FALSE,-0.658628006845228
"Roche_Intestine_Tris_10min","Ki67",0.0844504230756633,FALSE,-1.13004589588771
"Roche_Intestine_Tris_10min","S100b",0.109555743584355,FALSE,-1.04470840249266
"Roche_Intestine_Tris_10min","CK",0.0412939377154767,FALSE,-0.64350200118733
"Roche_Intestine_Tris_10min","CD68",0.0796912901141271,FALSE,-1.36192014964186
"Roche_Intestine_Tris_10min","Vimentin",0.0301278517005946,FALSE,-0.929544623389848
"Roche_Intestine_Tris_20min","CD8",0.0786709032181803,FALSE,0.673284998486446
"Roche_Intestine_Tris_20min","CD3",0.123097513208057,FALSE,0.0995748388464031
"Roche_Intestine_Tris_20min","CD20",0.144587329529652,FALSE,1.2146610050077
"Roche_Intestine_Tris_20min","CD34",0.173989570783636,FALSE,-0.238080251950481
"Roche_Intestine_Tris_20min","CD45",0.0692655118490584,FALSE,-0.3776289548721
"Roche_Intestine_Tris_20min","CD4",0.145320484852398,FALSE,0.0415451946827256
"Roche_Intestine_Tris_20min","Iba1",0.139427522211143,FALSE,-0.317369001418787
"Roche_Intestine_Tris_20min","Ki67",0.119913296229976,FALSE,-0.393833160648206
"Roche_Intestine_Tris_20min","S100b",0.181304137486436,FALSE,-0.324419290060831
"Roche_Intestine_Tris_20min","CK",0.188116406171541,FALSE,1.46812673593375
"Roche_Intestine_Tris_20min","CD68",0.146215436789891,FALSE,0.928341539474585
"Roche_Intestine_Tris_20min","Vimentin",0.156032414621446,FALSE,0.946116674792348
"Roche_Intestine_Tris_40min","CD8",0.0762263015751723,FALSE,0.488185881104845
"Roche_Intestine_Tris_40min","CD3",0.13172226666046,FALSE,0.697593006132874
"Roche_Intestine_Tris_40min","CD20",0.0987534131965902,FALSE,-0.00585026929801679
"Roche_Intestine_Tris_40min","CD34",0.188113874598565,FALSE,0.105504507636612
"Roche_Intestine_Tris_40min","CD45",0.0914886025282367,FALSE,0.59079232403893
"Roche_Intestine_Tris_40min","CD4",0.156035632867279,FALSE,0.340934884657253
"Roche_Intestine_Tris_40min","Iba1",0.121945594493344,FALSE,-0.50929808802786
"Roche_Intestine_Tris_40min","Ki67",0.153862096609758,FALSE,0.310947274849578
"Roche_Intestine_Tris_40min","S100b",0.216259964191905,FALSE,0.0265056578392575
"Roche_Intestine_Tris_40min","CK",0.0425776092321135,FALSE,-0.625039992667392
"Roche_Intestine_Tris_40min","CD68",0.116609659556182,FALSE,-0.090912081400217
"Roche_Intestine_Tris_40min","Vimentin",0.039098779010052,FALSE,-0.795900371165783
