"Marker","Best_Condition","Worst_Condition","Min_CV","Max_CV","CV_Range","Failed_Conditions","Excluded_Conditions"
"S100b","Roche_Intestine_Tris_10min","Roche_Intestine_Citra_20min",0.109555743584355,0.347359038992848,0.237803295408493,0,0
"Iba1","Roche_Intestine_Tris_10min","Roche_Intestine_Citra_20min",0.108343826814496,0.303623809560951,0.195279982746455,0,0
"CK","Roche_Intestine_Tris_10min","Roche_Intestine_Tris_20min",0.0412939377154767,0.188116406171541,0.146822468456064,0,0
"Vimentin","Roche_Intestine_Tris_10min","Roche_Intestine_Tris_20min",0.0301278517005946,0.156032414621446,0.125904562920852,0,0
"Ki67","Roche_Intestine_Tris_10min","Roche_Intestine_Citra_20min",0.0844504230756633,0.197310084700729,0.112859661625066,0,0
"CD34","Roche_Intestine_Tris_10min","Roche_Intestine_Citra_20min",0.136801070729007,0.236202392997604,0.0994013222685967,0,0
"CD20","Roche_Intestine_Tris_10min","Roche_Intestine_Tris_20min",0.0526151510368276,0.144587329529652,0.0919721784928248,0,0
"CD4","Roche_Intestine_Tris_10min","Roche_Intestine_Citra_20min",0.0945746574265404,0.179403559182247,0.0848289017557064,0,0
"CD68","Roche_Intestine_Tris_10min","Roche_Intestine_Tris_20min",0.0796912901141271,0.146215436789891,0.0665241466757643,0,0
"CD45","Roche_Intestine_Tris_10min","Roche_Intestine_Citra_20min",0.0499028547897429,0.101068019616203,0.0511651648264604,0,0
"CD3","Roche_Intestine_Tris_10min","Roche_Intestine_Tris_40min",0.100835999705466,0.13172226666046,0.0308862669549943,0,0
"CD8","Roche_Intestine_Tris_10min","Roche_Intestine_Tris_20min",0.0501720645083033,0.0786709032181803,0.0284988387098771,0,0
