"Staining_condition","Marker","CV","Is_Excluded"
"Roche_Tonsil_Citra_20min","CD8",0.283276861260106,FALSE
"Roche_Tonsil_Citra_20min","CD3",0.359451748873224,FALSE
"Roche_Tonsil_Citra_20min","CD20",0.259768892160927,FALSE
"Roche_Tonsil_Citra_20min","CD34",0.334428367459521,FALSE
"Roche_Tonsil_Citra_20min","CD45",0.13958435581768,FALSE
"Roche_Tonsil_Citra_20min","CD4",0.280703218531924,FALSE
"Roche_Tonsil_Citra_20min","Iba1",0.53970202039893,FALSE
"Roche_Tonsil_Citra_20min","Ki67",0.185512679262506,FALSE
"Roche_Tonsil_Citra_20min","S100b",0.321885782367435,FALSE
"Roche_Tonsil_Citra_20min","CK",0.160915982259945,FALSE
"Roche_Tonsil_Citra_20min","CD68",0.235027585870709,FALSE
"Roche_Tonsil_Citra_20min","Vimentin",0.146258412947452,FALSE
"Roche_Tonsil_Tris_10min","CD8",0.0606955623531053,FALSE
"Roche_Tonsil_Tris_10min","CD3",0.244041570000893,FALSE
"Roche_Tonsil_Tris_10min","CD20",0.151566798796965,FALSE
"Roche_Tonsil_Tris_10min","CD34",0.147020927062181,FALSE
"Roche_Tonsil_Tris_10min","CD45",0.0741058873337246,FALSE
"Roche_Tonsil_Tris_10min","CD4",0.0825956389863858,FALSE
"Roche_Tonsil_Tris_10min","Iba1",0.118586897475285,FALSE
"Roche_Tonsil_Tris_10min","Ki67",0.0515068863934323,FALSE
"Roche_Tonsil_Tris_10min","S100b",0.0991192812200847,FALSE
"Roche_Tonsil_Tris_10min","CK",0.078518732235226,FALSE
"Roche_Tonsil_Tris_10min","CD68",0.0899521578585626,FALSE
"Roche_Tonsil_Tris_10min","Vimentin",0.0744741853230749,FALSE
"Roche_Tonsil_Tris_20min","CD8",0.0802713418906833,FALSE
"Roche_Tonsil_Tris_20min","CD3",0.23065185976105,FALSE
"Roche_Tonsil_Tris_20min","CD20",0.141534298406912,FALSE
"Roche_Tonsil_Tris_20min","CD34",0.140626726106755,FALSE
"Roche_Tonsil_Tris_20min","CD45",0.0770229310698027,FALSE
"Roche_Tonsil_Tris_20min","CD4",0.0948519832656022,FALSE
"Roche_Tonsil_Tris_20min","Iba1",0.129297266689798,FALSE
"Roche_Tonsil_Tris_20min","Ki67",0.0717210070439764,FALSE
"Roche_Tonsil_Tris_20min","S100b",0.253887344727952,FALSE
"Roche_Tonsil_Tris_20min","CK",0.22609678642275,FALSE
"Roche_Tonsil_Tris_20min","CD68",0.10914670209531,FALSE
"Roche_Tonsil_Tris_20min","Vimentin",0.108400976801716,FALSE
"Roche_Tonsil_Tris_40min","CD8",0.0846666246608037,FALSE
"Roche_Tonsil_Tris_40min","CD3",0.228483106578229,FALSE
"Roche_Tonsil_Tris_40min","CD20",0.142744141489297,FALSE
"Roche_Tonsil_Tris_40min","CD34",0.142186877079732,FALSE
"Roche_Tonsil_Tris_40min","CD45",0.0782704592711148,FALSE
"Roche_Tonsil_Tris_40min","CD4",0.0745544676413512,FALSE
"Roche_Tonsil_Tris_40min","Iba1",0.0584205171526386,FALSE
"Roche_Tonsil_Tris_40min","Ki67",0.0923970647376402,FALSE
"Roche_Tonsil_Tris_40min","S100b",0.222234694043254,FALSE
"Roche_Tonsil_Tris_40min","CK",0.0884763266526207,FALSE
"Roche_Tonsil_Tris_40min","CD68",0.097515721829209,FALSE
"Roche_Tonsil_Tris_40min","Vimentin",0.0707736884450296,FALSE
