"Marker","Best_Condition","Worst_Condition","Min_CV","Max_CV","CV_Range","Failed_Conditions","Excluded_Conditions"
"Iba1","Roche_Tonsil_Tris_40min","Roche_Tonsil_Citra_20min",0.0584205171526386,0.53970202039893,0.481281503246292,0,0
"S100b","Roche_Tonsil_Tris_10min","Roche_Tonsil_Citra_20min",0.0991192812200847,0.321885782367435,0.22276650114735,0,0
"CD8","Roche_Tonsil_Tris_10min","Roche_Tonsil_Citra_20min",0.0606955623531053,0.283276861260106,0.222581298907001,0,0
"CD4","Roche_Tonsil_Tris_40min","Roche_Tonsil_Citra_20min",0.0745544676413512,0.280703218531924,0.206148750890573,0,0
"CD34","Roche_Tonsil_Tris_20min","Roche_Tonsil_Citra_20min",0.140626726106755,0.334428367459521,0.193801641352766,0,0
"CK","Roche_Tonsil_Tris_10min","Roche_Tonsil_Tris_20min",0.078518732235226,0.22609678642275,0.147578054187524,0,0
"CD68","Roche_Tonsil_Tris_10min","Roche_Tonsil_Citra_20min",0.0899521578585626,0.235027585870709,0.145075428012147,0,0
"Ki67","Roche_Tonsil_Tris_10min","Roche_Tonsil_Citra_20min",0.0515068863934323,0.185512679262506,0.134005792869073,0,0
"CD3","Roche_Tonsil_Tris_40min","Roche_Tonsil_Citra_20min",0.228483106578229,0.359451748873224,0.130968642294995,0,0
"CD20","Roche_Tonsil_Tris_20min","Roche_Tonsil_Citra_20min",0.141534298406912,0.259768892160927,0.118234593754016,0,0
"Vimentin","Roche_Tonsil_Tris_40min","Roche_Tonsil_Citra_20min",0.0707736884450296,0.146258412947452,0.0754847245024226,0,0
"CD45","Roche_Tonsil_Tris_10min","Roche_Tonsil_Citra_20min",0.0741058873337246,0.13958435581768,0.0654784684839554,0,0
