"Staining_condition","Marker","CV","Is_Excluded","Rank","Score"
"Roche_10","CD8",1.09402476493414,FALSE,6,6
"Roche_10","CD3e",0.953629375485604,FALSE,6,6
"Roche_10","CD20",0.426259408862619,FALSE,3,3
"Roche_10","CD34",0.191922289242261,FALSE,5,5
"Roche_10","CD45",0.889470685393604,FALSE,6,6
"Roche_10","CD4",0.252941301082537,FALSE,6,6
"Roche_10","MHCII",0.409310610836388,FALSE,3,3
"Roche_10","Iba1",0.233047804856691,FALSE,5,5
"Roche_10","S100b",7.43515178428699,FALSE,6,6
"Roche_10","Vimentin",0.272434485688647,FALSE,6,6
"Roche_14","CD8",0.562283265668784,FALSE,3,3
"Roche_14","CD3e",0.227667371495279,FALSE,2,2
"Roche_14","CD20",0.254073008612049,FALSE,2,2
"Roche_14","CD34",0.101092828679978,FALSE,1,1
"Roche_14","CD45",0.395149950112156,FALSE,1,1
"Roche_14","CD4",0.0998604727326109,FALSE,1,1
"Roche_14","MHCII",0.299525212514834,FALSE,2,2
"Roche_14","Iba1",0.19873429776044,FALSE,2,2
"Roche_14","S100b",2.16586265543235,FALSE,3,3
"Roche_14","Vimentin",0.217795610507655,FALSE,3,3
"Roche_18","CD8",0.512127919323337,FALSE,2,2
"Roche_18","CD3e",0.282898508419562,FALSE,3,3
"Roche_18","CD20",0.191120439218291,FALSE,1,1
"Roche_18","CD34",0.163846430473975,FALSE,4,4
"Roche_18","CD45",0.451659856424126,FALSE,2,2
"Roche_18","CD4",0.205898186829778,FALSE,5,5
"Roche_18","MHCII",0.475483077511289,FALSE,6,6
"Roche_18","Iba1",0.253484804774787,FALSE,6,6
"Roche_18","S100b",1.95553449806041,FALSE,1,1
"Roche_18","Vimentin",0.262144004649252,FALSE,5,5
"Roche_2","CD8",1.07679739722727,FALSE,5,5
"Roche_2","CD3e",0.77902452434269,FALSE,5,5
"Roche_2","CD20",1.34838755746923,FALSE,5,5
"Roche_2","CD34",0.268777496197447,FALSE,6,6
"Roche_2","CD45",0.798659880214382,FALSE,5,5
"Roche_2","CD4",0.162626809852178,FALSE,4,4
"Roche_2","MHCII",0.41956124716503,FALSE,5,5
"Roche_2","Iba1",0.218961168532552,FALSE,4,4
"Roche_2","S100b",3.49929609350633,FALSE,5,5
"Roche_2","Vimentin",0.202549453166571,FALSE,2,2
"Roche_22","CD8",0.403203900536879,FALSE,1,1
"Roche_22","CD3e",0.212365981204153,FALSE,1,1
"Roche_22","CD20",0.689995426665009,FALSE,4,4
"Roche_22","CD34",0.129580906699695,FALSE,2,2
"Roche_22","CD45",0.481547158041726,FALSE,3,3
"Roche_22","CD4",0.14255070127629,FALSE,3,3
"Roche_22","MHCII",0.418425593804883,FALSE,4,4
"Roche_22","Iba1",0.196337357483447,FALSE,1,1
"Roche_22","S100b",2.92271604829507,FALSE,4,4
"Roche_22","Vimentin",0.179271355367641,FALSE,1,1
"Roche_6","CD8",0.949516361061416,FALSE,4,4
"Roche_6","CD3e",0.649797549725585,FALSE,4,4
"Roche_6","CD20",1.35903919476645,FALSE,6,6
"Roche_6","CD34",0.154905079512258,FALSE,3,3
"Roche_6","CD45",0.549293478510885,FALSE,4,4
"Roche_6","CD4",0.117676412886801,FALSE,2,2
"Roche_6","MHCII",0.295275491441951,FALSE,1,1
"Roche_6","Iba1",0.215412126143478,FALSE,3,3
"Roche_6","S100b",1.97782101840347,FALSE,2,2
"Roche_6","Vimentin",0.228585398570225,FALSE,4,4
