"Marker","Best_Condition","Worst_Condition","Min_CV","Max_CV","CV_Range","Failed_Conditions","Excluded_Conditions"
"S100b","Roche_Slide18_Scan1","Roche_Slide10_Scan1",1.19524734712772,5.21298423646193,4.01773688933422,0,0
"CD20","Roche_Slide18_Scan1","Roche_Slide2_Scan1",0.0729955320421532,1.25741982654373,1.18442429450158,0,0
"CD8","Roche_Slide22_Scan1","Roche_Slide10_Scan1",0.186050982876511,0.75218781722056,0.566136834344049,0,0
"CD3e","Roche_Slide22_Scan1","Roche_Slide10_Scan1",0.0802466400292138,0.533905210292525,0.453658570263312,0,0
"CD45","Roche_Slide14_Scan1","Roche_Slide10_Scan1",0.193676605486932,0.618495558072905,0.424818952585973,0,0
"MHCII","Roche_Slide6_Scan1","Roche_Slide18_Scan1",0.149954922526204,0.286750015507001,0.136795092980797,0,0
"CD34","Roche_Slide14_Scan1","Roche_Slide2_Scan1",0.0423559974716344,0.178619356292475,0.13626335882084,0,0
"CD4","Roche_Slide14_Scan1","Roche_Slide10_Scan1",0.0334900979248064,0.136628689899646,0.10313859197484,0,0
"Vimentin","Roche_Slide22_Scan1","Roche_Slide10_Scan1",0.113349859873523,0.198002638435971,0.0846527785624477,0,0
"Iba1","Roche_Slide14_Scan1","Roche_Slide18_Scan1",0.139995101518497,0.203200380997287,0.0632052794787897,0,0
