"Marker","Best_Condition","Worst_Condition","Min_CV","Max_CV","CV_Range","Failed_Conditions","Excluded_Conditions"
"S100b","Roche_intestine_3","Roche_intestine_24",0.556833139555264,1.07076321756537,0.513930078010109,0,0
"Ki67","Roche_intestine_3","Roche_intestine_24",0.379351547124466,0.792949677465939,0.413598130341474,0,0
"PanCytokeratin","Roche_intestine_2","Roche_intestine_1",0.264044265926505,0.552603348778144,0.288559082851639,0,0
"Vimentin","Roche_intestine_3","Roche_intestine_24",0.199984669649352,0.447285514858912,0.247300845209561,0,0
"CD45","Roche_intestine_3","Roche_intestine_24",0.197089904187016,0.348715956411578,0.151626052224563,0,0
"CD8","Roche_intestine_3","Roche_intestine_24",0.270684081310397,0.418131577849095,0.147447496538698,0,0
"Iba1","Roche_intestine_3","Roche_intestine_24",0.126977561611368,0.271761528358869,0.144783966747501,0,0
"CD20","Roche_intestine_3","Roche_intestine_24",0.160856707397292,0.269335972989453,0.108479265592161,0,0
"CD4","Roche_intestine_3","Roche_intestine_24",0.11750727522214,0.186296025480219,0.0687887502580795,0,0
"CD34","Roche_intestine_3","Roche_intestine_24",0.15892920794545,0.219577596575281,0.0606483886298309,0,0
"CD68","Roche_intestine_3","Roche_intestine_1",0.107227921820558,0.158819634909859,0.0515917130893012,0,0
"CD3e","Roche_intestine_3","Roche_intestine_24",0.158900925725689,0.201667459769981,0.0427665340442926,0,0
