"Staining_condition","Marker","CV","Is_Excluded"
"Stanford_OSCC_1","PanCK",0.309270002992433,FALSE
"Stanford_OSCC_1","CD68",0.200823197201445,FALSE
"Stanford_OSCC_1","aSMA",0.39456587239628,FALSE
"Stanford_OSCC_1","CD45RO",0.235046536654585,FALSE
"Stanford_OSCC_1","CD45RA",0.151215236401733,FALSE
"Stanford_OSCC_1","CD14",0.250092969286623,FALSE
"Stanford_OSCC_1","CD209",0.194126131128484,FALSE
"Stanford_OSCC_1","CD16",0.183141391211772,FALSE
"Stanford_OSCC_1","CD163",0.248458846084001,FALSE
"Stanford_OSCC_1","pS6",0.343376595696368,FALSE
"Stanford_OSCC_1","CD11b",0.152687684141869,FALSE
"Stanford_OSCC_1","FoxP3",0.25612910357418,FALSE
"Stanford_OSCC_1","CD4",0.184678778588404,FALSE
"Stanford_OSCC_1","Neurofilamen",0.0953969561191948,FALSE
"Stanford_OSCC_1","pMK2",0.211999498219004,FALSE
"Stanford_OSCC_1","CD31",0.293202126337994,FALSE
"Stanford_OSCC_1","CD20",0.361268625198877,FALSE
"Stanford_OSCC_1","CD8a",0.190761704807922,FALSE
"Stanford_OSCC_1","VEGF",0.0964823440469766,FALSE
"Stanford_OSCC_1","CD3",0.182945544046228,FALSE
"Stanford_OSCC_1","pCREB",0.23533143477466,FALSE
"Stanford_OSCC_1","Ki67",0.260689691512929,FALSE
"Stanford_OSCC_1","Collagen1",0.179261821505345,FALSE
"Stanford_OSCC_1","CD44",0.188248614953054,FALSE
"Stanford_OSCC_1","CD66a",0.287380533531079,FALSE
"Stanford_OSCC_1","CD11c",0.198677651931625,FALSE
"Stanford_OSCC_1","HLADR",0.349659894062391,FALSE
"Stanford_OSCC_1","SOX9",0.209030623265682,FALSE
"Stanford_OSCC_1","TenascinC",0.17774168330319,FALSE
"Stanford_OSCC_1","CD15",0.243479441297255,FALSE
"Stanford_OSCC_1","Podoplanin",0.2466212630751,FALSE
"Stanford_OSCC_1","Desmin",0.219910451542282,FALSE
"Stanford_OSCC_2","PanCK",0.209862045671577,FALSE
"Stanford_OSCC_2","CD68",0.167084920506852,FALSE
"Stanford_OSCC_2","aSMA",0.318370322035071,FALSE
"Stanford_OSCC_2","CD45RO",0.194548106160685,FALSE
"Stanford_OSCC_2","CD45RA",0.148472989364691,FALSE
"Stanford_OSCC_2","CD14",0.263538268383153,FALSE
"Stanford_OSCC_2","CD209",0.199218404791346,FALSE
"Stanford_OSCC_2","CD16",0.180973182189544,FALSE
"Stanford_OSCC_2","CD163",0.238617087285606,FALSE
"Stanford_OSCC_2","pS6",0.296469990565356,FALSE
"Stanford_OSCC_2","CD11b",0.16004834870379,FALSE
"Stanford_OSCC_2","FoxP3",0.213115503533881,FALSE
"Stanford_OSCC_2","CD4",0.174505653635866,FALSE
"Stanford_OSCC_2","Neurofilamen",0.0961726315129056,FALSE
"Stanford_OSCC_2","pMK2",0.211778470349719,FALSE
"Stanford_OSCC_2","CD31",0.275196019315967,FALSE
"Stanford_OSCC_2","CD20",0.356595311817202,FALSE
"Stanford_OSCC_2","CD8a",0.179123032512463,FALSE
"Stanford_OSCC_2","VEGF",0.0919065241090514,FALSE
"Stanford_OSCC_2","CD3",0.170552228332865,FALSE
"Stanford_OSCC_2","pCREB",0.217179089468457,FALSE
"Stanford_OSCC_2","Ki67",0.184074875441044,FALSE
"Stanford_OSCC_2","Collagen1",0.137692918784009,FALSE
"Stanford_OSCC_2","CD44",0.154701578869392,FALSE
"Stanford_OSCC_2","CD66a",0.223500825623338,FALSE
"Stanford_OSCC_2","CD11c",0.164536604774395,FALSE
"Stanford_OSCC_2","HLADR",0.278211468553933,FALSE
"Stanford_OSCC_2","SOX9",0.22430068316708,FALSE
"Stanford_OSCC_2","TenascinC",0.167850284040333,FALSE
"Stanford_OSCC_2","CD15",0.240557571646355,FALSE
"Stanford_OSCC_2","Podoplanin",0.217120279628612,FALSE
"Stanford_OSCC_2","Desmin",0.214055954585974,FALSE
"Stanford_OSCC_24","PanCK",0.269901854374659,FALSE
"Stanford_OSCC_24","CD68",0.279893196173396,FALSE
"Stanford_OSCC_24","aSMA",0.468483252135119,FALSE
"Stanford_OSCC_24","CD45RO",0.295036113172986,FALSE
"Stanford_OSCC_24","CD45RA",0.251926554445532,FALSE
"Stanford_OSCC_24","CD14",0.367041601472413,FALSE
"Stanford_OSCC_24","CD209",0.218768879661182,FALSE
"Stanford_OSCC_24","CD16",0.212190943982413,FALSE
"Stanford_OSCC_24","CD163",0.28109383424406,FALSE
"Stanford_OSCC_24","pS6",0.437801566001666,FALSE
"Stanford_OSCC_24","CD11b",0.18966040113304,FALSE
"Stanford_OSCC_24","FoxP3",0.247334501487155,FALSE
"Stanford_OSCC_24","CD4",0.197448645385061,FALSE
