"Staining_condition","Marker","CV","Is_Excluded","Rank","Score"
"Stanford_OSCC_Citra_20min","CD68",0.258353173561879,FALSE,4,4
"Stanford_OSCC_Citra_20min","aSMA",0.504387348667913,FALSE,4,4
"Stanford_OSCC_Citra_20min","CD45RO",0.306447983018625,FALSE,4,4
"Stanford_OSCC_Citra_20min","CD45RA",0.298901787414594,FALSE,4,4
"Stanford_OSCC_Citra_20min","CD14",0.379962433608958,FALSE,4,4
"Stanford_OSCC_Citra_20min","CD209",0.309290717403138,FALSE,4,4
"Stanford_OSCC_Citra_20min","CD16",0.342490290372923,FALSE,4,4
"Stanford_OSCC_Citra_20min","CD163",0.338687332612356,FALSE,4,4
"Stanford_OSCC_Citra_20min","pS6",0.399802169616527,FALSE,4,4
"Stanford_OSCC_Citra_20min","CD11b",0.358377252264534,FALSE,4,4
"Stanford_OSCC_Citra_20min","FOXP3",0.28424246173141,FALSE,4,4
"Stanford_OSCC_Citra_20min","CD4",0.298626778940855,FALSE,4,4
"Stanford_OSCC_Citra_20min","Neurofilament",0.253634731897601,FALSE,4,4
"Stanford_OSCC_Citra_20min","pMK2",0.292552975093589,FALSE,4,4
"Stanford_OSCC_Citra_20min","CD31",0.433133896078098,FALSE,4,4
"Stanford_OSCC_Citra_20min","CD20",0.099709974031706,FALSE,4,4
"Stanford_OSCC_Citra_20min","CD8",0.435993912860699,FALSE,4,4
"Stanford_OSCC_Citra_20min","VEGF",0.292950010712646,FALSE,4,4
"Stanford_OSCC_Citra_20min","CD3",0.311283282239857,FALSE,4,4
"Stanford_OSCC_Citra_20min","pCREB",0.224682961038092,FALSE,2,2
"Stanford_OSCC_Citra_20min","Ki67",0.081444494216952,FALSE,4,4
"Stanford_OSCC_Citra_20min","Collagen",0.267161597134163,FALSE,4,4
"Stanford_OSCC_Citra_20min","CD44",0.293486173184048,FALSE,4,4
"Stanford_OSCC_Citra_20min","CD66a",0.137208806214339,FALSE,4,4
"Stanford_OSCC_Citra_20min","CD11c",0.288103076830598,FALSE,4,4
"Stanford_OSCC_Citra_20min","HLADR",0.367452401075148,FALSE,4,4
"Stanford_OSCC_Citra_20min","SOX9",0.330411132564644,FALSE,4,4
"Stanford_OSCC_Citra_20min","TenascinC",0.256375157206365,FALSE,4,4
"Stanford_OSCC_Citra_20min","PanCK",0.341875058575881,FALSE,3,3
"Stanford_OSCC_Citra_20min","CD15",0.316248266191451,FALSE,4,4
"Stanford_OSCC_Citra_20min","Podoplanin",0.431905858581872,FALSE,4,4
"Stanford_OSCC_Citra_20min","Desmin",0.414045784787494,FALSE,4,4
"Stanford_OSCC_Tris_10min","CD68",0.153575770117982,FALSE,2,2
"Stanford_OSCC_Tris_10min","aSMA",0.198569771123272,FALSE,1,1
"Stanford_OSCC_Tris_10min","CD45RO",0.133544422341615,FALSE,1,1
"Stanford_OSCC_Tris_10min","CD45RA",0.0712871086908464,FALSE,1,1
"Stanford_OSCC_Tris_10min","CD14",0.174969232734329,FALSE,1,1
"Stanford_OSCC_Tris_10min","CD209",0.101581801786567,FALSE,1,1
"Stanford_OSCC_Tris_10min","CD16",0.166150679082065,FALSE,1,1
"Stanford_OSCC_Tris_10min","CD163",0.11272070370251,FALSE,1,1
"Stanford_OSCC_Tris_10min","pS6",0.225446117617442,FALSE,1,1
"Stanford_OSCC_Tris_10min","CD11b",0.101374139813042,FALSE,1,1
"Stanford_OSCC_Tris_10min","FOXP3",0.1392692670623,FALSE,1,1
"Stanford_OSCC_Tris_10min","CD4",0.140454087483418,FALSE,1,1
"Stanford_OSCC_Tris_10min","Neurofilament",0.0860262225270157,FALSE,1,1
"Stanford_OSCC_Tris_10min","pMK2",0.185478980986143,FALSE,1,1
"Stanford_OSCC_Tris_10min","CD31",0.252325114880422,FALSE,1,1
"Stanford_OSCC_Tris_10min","CD20",0.0221906427626708,FALSE,1,1
"Stanford_OSCC_Tris_10min","CD8",0.205576747355968,FALSE,1,1
"Stanford_OSCC_Tris_10min","VEGF",0.141235679111589,FALSE,1,1
"Stanford_OSCC_Tris_10min","CD3",0.183207155490104,FALSE,1,1
"Stanford_OSCC_Tris_10min","pCREB",0.216515930539005,FALSE,1,1
"Stanford_OSCC_Tris_10min","Ki67",0.0276676203852833,FALSE,2,2
"Stanford_OSCC_Tris_10min","Collagen",0.156080134744037,FALSE,3,3
"Stanford_OSCC_Tris_10min","CD44",0.152426954387274,FALSE,1,1
"Stanford_OSCC_Tris_10min","CD66a",0.0742847573970999,FALSE,2,2
"Stanford_OSCC_Tris_10min","CD11c",0.199349381431853,FALSE,2,2
"Stanford_OSCC_Tris_10min","HLADR",0.280909705466464,FALSE,2,2
"Stanford_OSCC_Tris_10min","SOX9",0.160045905436899,FALSE,1,1
"Stanford_OSCC_Tris_10min","TenascinC",0.142223926478371,FALSE,1,1
"Stanford_OSCC_Tris_10min","PanCK",0.291892045360269,FALSE,2,2
"Stanford_OSCC_Tris_10min","CD15",0.242721271843471,FALSE,3,3
"Stanford_OSCC_Tris_10min","Podoplanin",0.211511060884311,FALSE,2,2
"Stanford_OSCC_Tris_10min","Desmin",0.325906193610959,FALSE,3,3
"Stanford_OSCC_Tris_20min","CD68",0.167883864519929,FALSE,3,3
"Stanford_OSCC_Tris_20min","aSMA",0.368609039235898,FALSE,3,3
"Stanford_OSCC_Tris_20min","CD45RO",0.227582393756117,FALSE,3,3
"Stanford_OSCC_Tris_20min","CD45RA",0.148696720018131,FALSE,2,2
"Stanford_OSCC_Tris_20min","CD14",0.23234773014804,FALSE,2,2
"Stanford_OSCC_Tris_20min","CD209",0.23950496877681,FALSE,2,2
"Stanford_OSCC_Tris_20min","CD16",0.266896834964421,FALSE,3,3
"Stanford_OSCC_Tris_20min","CD163",0.270598339071829,FALSE,3,3
"Stanford_OSCC_Tris_20min","pS6",0.29154941255897,FALSE,3,3
"Stanford_OSCC_Tris_20min","CD11b",0.25244963438896,FALSE,2,2
"Stanford_OSCC_Tris_20min","FOXP3",0.265276443638997,FALSE,3,3
"Stanford_OSCC_Tris_20min","CD4",0.24419135270456,FALSE,3,3
"Stanford_OSCC_Tris_20min","Neurofilament",0.114562889166216,FALSE,2,2
"Stanford_OSCC_Tris_20min","pMK2",0.242468329426447,FALSE,2,2
"Stanford_OSCC_Tris_20min","CD31",0.27541119711501,FALSE,3,3
"Stanford_OSCC_Tris_20min","CD20",0.0460900535014374,FALSE,3,3
"Stanford_OSCC_Tris_20min","CD8",0.242012560952181,FALSE,3,3
"Stanford_OSCC_Tris_20min","VEGF",0.157356568015564,FALSE,3,3
"Stanford_OSCC_Tris_20min","CD3",0.206100039709899,FALSE,3,3
"Stanford_OSCC_Tris_20min","pCREB",0.262476844276938,FALSE,4,4
"Stanford_OSCC_Tris_20min","Ki67",0.0277248282370707,FALSE,3,3
"Stanford_OSCC_Tris_20min","Collagen",0.137055014151733,FALSE,2,2
"Stanford_OSCC_Tris_20min","CD44",0.191394090010047,FALSE,3,3
"Stanford_OSCC_Tris_20min","CD66a",0.0839927565102997,FALSE,3,3
"Stanford_OSCC_Tris_20min","CD11c",0.238027121986879,FALSE,3,3
"Stanford_OSCC_Tris_20min","HLADR",0.300193121286397,FALSE,3,3
"Stanford_OSCC_Tris_20min","SOX9",0.209727553807884,FALSE,2,2
