marker,.y.,n,statistic,df,p,method,p.adj,p.adj.signif
CD11b,value,69071,28687.924012881296,3,0,Kruskal-Wallis,0,****
CD11c,value,69071,1283.9430119809067,3,4.489999999999998e-278,Kruskal-Wallis,4.602249999999997e-278,****
CD14,value,69071,12499.571548249225,3,0,Kruskal-Wallis,0,****
CD15,value,69071,17311.69254588585,3,0,Kruskal-Wallis,0,****
CD16,value,69071,4885.42146687782,3,0,Kruskal-Wallis,0,****
CD163,value,69071,16563.41379868783,3,0,Kruskal-Wallis,0,****
CD20,value,69071,11172.424736863795,3,0,Kruskal-Wallis,0,****
CD209,value,69071,27176.722026635514,3,0,Kruskal-Wallis,0,****
CD3,value,69071,5959.405778572989,3,0,Kruskal-Wallis,0,****
CD31,value,69071,12742.498821363406,3,0,Kruskal-Wallis,0,****
CD4,value,69071,13272.687435630676,3,0,Kruskal-Wallis,0,****
CD44,value,69071,19401.21937300726,3,0,Kruskal-Wallis,0,****
CD45RA,value,69071,32480.984242910694,3,0,Kruskal-Wallis,0,****
CD45RO,value,69071,12308.647719469916,3,0,Kruskal-Wallis,0,****
CD56,value,69071,28257.98783746909,3,0,Kruskal-Wallis,0,****
CD66a,value,69071,9690.03484685244,3,0,Kruskal-Wallis,0,****
CD68,value,69071,8494.674296606077,3,0,Kruskal-Wallis,0,****
CD8,value,69071,4630.465873600474,3,0,Kruskal-Wallis,0,****
Collagen,value,69071,34802.01769153942,3,0,Kruskal-Wallis,0,****
Desmin,value,69071,12631.38726073901,3,0,Kruskal-Wallis,0,****
FOXP3,value,69071,31461.426484569434,3,0,Kruskal-Wallis,0,****
Granzyme B,value,69071,34737.414771284,3,0,Kruskal-Wallis,0,****
HLADR,value,69071,2773.075830057058,3,0,Kruskal-Wallis,0,****
Hoechst,value,69071,1.8879050580525603,3,0.596,Kruskal-Wallis,0.596,ns
Ki67,value,69071,21447.847133723713,3,0,Kruskal-Wallis,0,****
Neurofilament,value,69071,39485.65058982777,3,0,Kruskal-Wallis,0,****
PD1,value,69071,40819.411963099825,3,0,Kruskal-Wallis,0,****
PDL1,value,69071,33539.537417018066,3,0,Kruskal-Wallis,0,****
PanCK,value,69071,10023.105664460034,3,0,Kruskal-Wallis,0,****
Podoplanin,value,69071,19273.037397209766,3,0,Kruskal-Wallis,0,****
SOX9,value,69071,33675.78199563386,3,0,Kruskal-Wallis,0,****
TenascinC,value,69071,33874.11710551005,3,0,Kruskal-Wallis,0,****
VEGF,value,69071,31781.52096759632,3,0,Kruskal-Wallis,0,****
aSMA,value,69071,17893.29784735503,3,0,Kruskal-Wallis,0,****
pCREB,value,69071,3976.8701047245004,3,0,Kruskal-Wallis,0,****
pMK2,value,69071,15278.739709982925,3,0,Kruskal-Wallis,0,****
pNFkB,value,69071,42344.48822929073,3,0,Kruskal-Wallis,0,****
pS6,value,69071,4971.210008180545,3,0,Kruskal-Wallis,0,****
pSTAT1,value,69071,36672.140494234685,3,0,Kruskal-Wallis,0,****
pSTAT3,value,69071,32937.87313479306,3,0,Kruskal-Wallis,0,****
pSTAT5,value,69071,45471.4706317333,3,0,Kruskal-Wallis,0,****
