"Marker","Best_Condition","Worst_Condition","Min_CV","Max_CV","CV_Range","Failed_Conditions","Excluded_Conditions"
"aSMA","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",0.198569771123272,0.504387348667913,0.305817577544641,0,0
"CD11b","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",0.101374139813042,0.358377252264534,0.257003112451492,0,0
"CD8","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",0.205576747355968,0.435993912860699,0.230417165504732,0,0
"CD45RA","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",0.0712871086908464,0.298901787414594,0.227614678723748,0,0
"CD163","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",0.11272070370251,0.338687332612356,0.225966628909846,0,0
"Podoplanin","Stanford_OSCC_Tris_40min","Stanford_OSCC_Citra_20min",0.208913754681265,0.431905858581872,0.222992103900608,0,0
"CD209","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",0.101581801786567,0.309290717403138,0.207708915616571,0,0
"CD14","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",0.174969232734329,0.379962433608958,0.204993200874628,0,0
"CD31","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",0.252325114880422,0.433133896078098,0.180808781197676,0,0
"CD16","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",0.166150679082065,0.342490290372923,0.176339611290858,0,0
"pS6","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",0.225446117617442,0.399802169616527,0.174356051999084,0,0
"CD45RO","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",0.133544422341615,0.306447983018625,0.17290356067701,0,0
"SOX9","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",0.160045905436899,0.330411132564644,0.170365227127745,0,0
"Neurofilament","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",0.0860262225270157,0.253634731897601,0.167608509370586,0,0
"Collagen","Stanford_OSCC_Tris_40min","Stanford_OSCC_Citra_20min",0.102473966796861,0.267161597134163,0.164687630337302,0,0
"CD4","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",0.140454087483418,0.298626778940855,0.158172691457437,0,0
"VEGF","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",0.141235679111589,0.292950010712646,0.151714331601056,0,0
"FOXP3","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",0.1392692670623,0.28424246173141,0.14497319466911,0,0
"CD44","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",0.152426954387274,0.293486173184048,0.141059218796774,0,0
"CD3","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",0.183207155490104,0.311283282239857,0.128076126749753,0,0
"PanCK","Stanford_OSCC_Tris_40min","Stanford_OSCC_Tris_20min",0.222284058873595,0.347390484036463,0.125106425162869,0,0
"HLADR","Stanford_OSCC_Tris_40min","Stanford_OSCC_Citra_20min",0.247479954984405,0.367452401075148,0.119972446090743,0,0
"CD68","Stanford_OSCC_Tris_40min","Stanford_OSCC_Citra_20min",0.141340985127335,0.258353173561879,0.117012188434544,0,0
"Desmin","Stanford_OSCC_Tris_40min","Stanford_OSCC_Citra_20min",0.297532776213979,0.414045784787494,0.116513008573515,0,0
"TenascinC","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",0.142223926478371,0.256375157206365,0.114151230727994,0,0
"pMK2","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",0.185478980986143,0.292552975093589,0.107073994107446,0,0
"CD15","Stanford_OSCC_Tris_40min","Stanford_OSCC_Citra_20min",0.221117293261448,0.316248266191451,0.095130972930003,0,0
"CD11c","Stanford_OSCC_Tris_40min","Stanford_OSCC_Citra_20min",0.196453083871538,0.288103076830598,0.0916499929590607,0,0
"CD20","Stanford_OSCC_Tris_10min","Stanford_OSCC_Citra_20min",0.0221906427626708,0.099709974031706,0.0775193312690352,0,0
"CD66a","Stanford_OSCC_Tris_40min","Stanford_OSCC_Citra_20min",0.0653308871450947,0.137208806214339,0.0718779190692444,0,0
"Ki67","Stanford_OSCC_Tris_40min","Stanford_OSCC_Citra_20min",0.0202318011214647,0.081444494216952,0.0612126930954873,0,0
"pCREB","Stanford_OSCC_Tris_10min","Stanford_OSCC_Tris_20min",0.216515930539005,0.262476844276938,0.0459609137379331,0,0
