"Staining_condition","Marker","CV","Is_Excluded"
"Stanford_Tonsil_1","PanCK",0.235691778125927,FALSE
"Stanford_Tonsil_1","CD68",0.145767286895933,FALSE
"Stanford_Tonsil_1","aSMA",0.396811416966849,FALSE
"Stanford_Tonsil_1","CD45RO",0.279969888135201,FALSE
"Stanford_Tonsil_1","CD45RA",0.295643418899657,FALSE
"Stanford_Tonsil_1","CD14",0.0821127071200948,FALSE
"Stanford_Tonsil_1","CD209",0.162834951421348,FALSE
"Stanford_Tonsil_1","CD16",0.163767545150598,FALSE
"Stanford_Tonsil_1","CD163",0.205615492028141,FALSE
"Stanford_Tonsil_1","pS6",0.242336997593665,FALSE
"Stanford_Tonsil_1","CD11b",0.135213146084385,FALSE
"Stanford_Tonsil_1","PDL1",0.163563776792294,FALSE
"Stanford_Tonsil_1","PD1",0.183109773671713,FALSE
"Stanford_Tonsil_1","pSTAT3",0.132352923439205,FALSE
"Stanford_Tonsil_1","CD4",0.135877631603407,FALSE
"Stanford_Tonsil_1","pMK2",0.244756702503008,FALSE
"Stanford_Tonsil_1","CD31",0.281990966439597,FALSE
"Stanford_Tonsil_1","CD20",0.149502096227172,FALSE
"Stanford_Tonsil_1","CD8a",0.134939791721787,FALSE
"Stanford_Tonsil_1","CD3",0.129384217973378,FALSE
"Stanford_Tonsil_1","GRZB",0.10264194664296,FALSE
"Stanford_Tonsil_1","Ki67",0.230621595896851,FALSE
"Stanford_Tonsil_1","Collagen1",0.20247783237885,FALSE
"Stanford_Tonsil_1","CD44",0.0985266661765297,FALSE
"Stanford_Tonsil_1","CD66a",0.262211862420229,FALSE
"Stanford_Tonsil_1","CD11c",0.156810953586946,FALSE
"Stanford_Tonsil_1","HLADR",0.258317999132306,FALSE
"Stanford_Tonsil_1","SOX9",0.201962989433044,FALSE
"Stanford_Tonsil_1","TenascinC",0.188318219659378,FALSE
"Stanford_Tonsil_1","CD15",0.17468385699623,FALSE
"Stanford_Tonsil_1","Podoplanin",0.0785386732799003,FALSE
"Stanford_Tonsil_2","PanCK",0.217553688940216,FALSE
