"Marker","Condition1","Condition2","Cohens_d","Size_of_effect","Lower_CI","Upper_CI"
"CD11b","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Tris_40min",1.36379857181167,"large",1.27627218941203,1.45132495421131
"CD11b","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Citra_20min",1.88200341256425,"large",1.7813013194868,1.98270550564171
"CD11c","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Tris_20min",0.829210264062157,"large",0.727328020249159,0.931092507875154
"CD11c","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Citra_20min",1.07686158024611,"large",0.987142383065816,1.1665807774264
"CD11c","Stanford_IMC_Tonsil_Tris_40min","Stanford_IMC_Tonsil_Citra_20min",0.871852407903774,"large",0.790833164909686,0.952871650897862
"CD14","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Tris_20min",1.18931559618736,"large",1.08347948389836,1.29515170847635
"CD14","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Tris_40min",1.26056407987031,"large",1.17422164388914,1.34690651585149
"CD14","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Citra_20min",2.07460789648662,"large",1.97063718316357,2.17857860980967
"CD14","Stanford_IMC_Tonsil_Tris_40min","Stanford_IMC_Tonsil_Citra_20min",0.916866668760259,"large",0.835481716314325,0.998251621206194
"CD16","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Tris_20min",2.20735708941088,"large",2.08444100598617,2.33027317283559
"CD16","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Tris_40min",1.44750684015705,"large",1.35896491020803,1.53604877010608
"CD16","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Citra_20min",2.13996048958595,"large",2.03483339438298,2.24508758478892
"CD163","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Tris_20min",1.14045462244369,"large",1.03522790204479,1.2456813428426
"CD163","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Tris_40min",1.32387142968464,"large",1.23681207266287,1.41093078670642
"CD163","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Citra_20min",1.35341835909076,"large",1.26046909243946,1.44636762574206
"CD20","Stanford_IMC_Tonsil_Tris_20min","Stanford_IMC_Tonsil_Citra_20min",0.849016842599362,"large",0.748326937904429,0.949706747294294
"CD20","Stanford_IMC_Tonsil_Tris_40min","Stanford_IMC_Tonsil_Citra_20min",0.831350111546656,"large",0.75064550790715,0.912054715186163
"CD209","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Tris_20min",1.24141811274118,"large",1.1349081166718,1.34792810881056
"CD209","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Tris_40min",1.20550653770004,"large",1.1197635937732,1.29124948162687
"CD209","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Citra_20min",1.65141362768662,"large",1.55432788255185,1.74849937282139
"CD3","Stanford_IMC_Tonsil_Tris_20min","Stanford_IMC_Tonsil_Citra_20min",0.944022763939542,"large",0.842422098916496,1.04562342896259
"CD31","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Tris_20min",1.16654130301884,"large",1.06099197277919,1.27209063325849
