"feature","group","avgExpr","logFC","statistic","auc","pval","padj","pct_in","pct_out","ident.1","ident.2"
"Hoechst","Stanford_IMC_Tonsil_Citra_20min",0.527104018323951,0.001861986011785,604016.5,0.505287386899026,0.66866124574013,0.66866124574013,100,100,"Stanford_IMC_Tonsil_Citra_20min","Stanford_IMC_Tonsil_Tris_10min"
"CD68","Stanford_IMC_Tonsil_Citra_20min",0.912001507113684,-0.0591186789745548,29939,0.0250453407752436,0,0,99.5583038869258,100,"Stanford_IMC_Tonsil_Citra_20min","Stanford_IMC_Tonsil_Tris_10min"
"aSMA","Stanford_IMC_Tonsil_Citra_20min",0.357900149143569,-0.107620261818457,351484,0.294032417817754,2.05045956439353e-62,2.47261300412161e-62,99.5583038869258,100,"Stanford_IMC_Tonsil_Citra_20min","Stanford_IMC_Tonsil_Tris_10min"
"CD45RO","Stanford_IMC_Tonsil_Citra_20min",0.442989177999816,-0.237387556286621,141596,0.118451520505407,1.79957058931031e-209,3.20793018094446e-209,99.8233215547703,100,"Stanford_IMC_Tonsil_Citra_20min","Stanford_IMC_Tonsil_Tris_10min"
"CD45RA","Stanford_IMC_Tonsil_Citra_20min",0.698860853635651,-0.0279280479572936,525498,0.439603075811115,1.0126435277893e-06,1.15328846220448e-06,100,100,"Stanford_IMC_Tonsil_Citra_20min","Stanford_IMC_Tonsil_Tris_10min"
"CD14","Stanford_IMC_Tonsil_Citra_20min",0.41981418866044,-0.252482973539472,83105,0.0695211277974087,4.61041942328491e-266,1.57522663628901e-265,99.7349823321555,100,"Stanford_IMC_Tonsil_Citra_20min","Stanford_IMC_Tonsil_Tris_10min"
"CD209","Stanford_IMC_Tonsil_Citra_20min",0.481921398652312,-0.173863292672605,110628,0.0925453742370703,1.38317480983925e-238,3.15056484463384e-238,99.5583038869258,100,"Stanford_IMC_Tonsil_Citra_20min","Stanford_IMC_Tonsil_Tris_10min"
"CD16","Stanford_IMC_Tonsil_Citra_20min",0.592801441961883,-0.166770458842039,49732.5,0.0416035074686797,2.11230491915281e-301,1.08255627106581e-300,99.6466431095406,100,"Stanford_IMC_Tonsil_Citra_20min","Stanford_IMC_Tonsil_Tris_10min"
"CD163","Stanford_IMC_Tonsil_Citra_20min",0.623672565811708,-0.126001240711778,169849,0.142086445283221,1.42079564885396e-184,2.33010486412049e-184,99.6466431095406,100,"Stanford_IMC_Tonsil_Citra_20min","Stanford_IMC_Tonsil_Tris_10min"
"pS6","Stanford_IMC_Tonsil_Citra_20min",0.487297464955202,-0.250363103367732,125319,0.104835066655959,1.55019846459517e-224,3.34516510781062e-224,99.9116607773852,100,"Stanford_IMC_Tonsil_Citra_20min","Stanford_IMC_Tonsil_Tris_10min"
"CD11b","Stanford_IMC_Tonsil_Citra_20min",0.520951058734419,-0.194492825117042,89581,0.0749385975479173,1.83890492585016e-259,4.71219387249104e-259,99.6466431095406,100,"Stanford_IMC_Tonsil_Citra_20min","Stanford_IMC_Tonsil_Tris_10min"
"pSTAT5","Stanford_IMC_Tonsil_Citra_20min",0.55287399931861,-0.275399475571867,13902,0.0116296578862833,0,0,99.5583038869258,100,"Stanford_IMC_Tonsil_Citra_20min","Stanford_IMC_Tonsil_Tris_10min"
"PDL1","Stanford_IMC_Tonsil_Citra_20min",0.644147511945905,-0.133335701603204,72991,0.0610603049041653,1.54111469583725e-276,6.31857025293272e-276,99.5583038869258,100,"Stanford_IMC_Tonsil_Citra_20min","Stanford_IMC_Tonsil_Tris_10min"
"PD1","Stanford_IMC_Tonsil_Citra_20min",0.626177876749374,-0.155652193694439,39084,0.0326955509155156,0,0,99.5583038869258,100,"Stanford_IMC_Tonsil_Citra_20min","Stanford_IMC_Tonsil_Tris_10min"
"pSTAT1","Stanford_IMC_Tonsil_Citra_20min",0.691909677201894,-0.183217060868562,19773,0.0165410175072278,0,0,99.5583038869258,100,"Stanford_IMC_Tonsil_Citra_20min","Stanford_IMC_Tonsil_Tris_10min"
"pSTAT3","Stanford_IMC_Tonsil_Citra_20min",0.568746747567339,-0.222042709064631,65978,0.0551936101295642,6.37357484019196e-284,2.90351742719856e-283,99.5583038869258,100,"Stanford_IMC_Tonsil_Citra_20min","Stanford_IMC_Tonsil_Tris_10min"
"FOXP3","Stanford_IMC_Tonsil_Citra_20min",0.497902448493783,-0.236618391149452,85460,0.0714911928471999,1.18517770673039e-263,3.73786815199584e-263,99.9116607773852,100,"Stanford_IMC_Tonsil_Citra_20min","Stanford_IMC_Tonsil_Tris_10min"
"CD4","Stanford_IMC_Tonsil_Citra_20min",0.530565853167792,-0.120001085515759,263928,0.220787825248956,4.09449078225465e-113,5.41529426040131e-113,99.6466431095406,99.905303030303,"Stanford_IMC_Tonsil_Citra_20min","Stanford_IMC_Tonsil_Tris_10min"
"pNFkB","Stanford_IMC_Tonsil_Citra_20min",0.460881311441823,-0.302921171286448,25082,0.0209822384623621,0,0,99.6466431095406,100,"Stanford_IMC_Tonsil_Citra_20min","Stanford_IMC_Tonsil_Tris_10min"
"Neurofilament","Stanford_IMC_Tonsil_Citra_20min",0.466296605757931,-0.334606143048231,49288.5,0.0412320811917764,6.9128532428321e-302,4.04895689937309e-301,99.7349823321555,99.905303030303,"Stanford_IMC_Tonsil_Citra_20min","Stanford_IMC_Tonsil_Tris_10min"
"pMK2","Stanford_IMC_Tonsil_Citra_20min",0.574737088163689,-0.0946286944066528,262418,0.219524641289217,4.01988541233156e-114,5.49384339685313e-114,100,99.905303030303,"Stanford_IMC_Tonsil_Citra_20min","Stanford_IMC_Tonsil_Tris_10min"
"CD31","Stanford_IMC_Tonsil_Citra_20min",0.553408097057265,-0.142629912564155,329298,0.27547281561195,8.0402654232103e-74,9.98942067732189e-74,99.9116607773852,99.8106060606061,"Stanford_IMC_Tonsil_Citra_20min","Stanford_IMC_Tonsil_Tris_10min"
"CD20","Stanford_IMC_Tonsil_Citra_20min",0.559660138653689,-0.0501696633517196,519623,0.434688370007495,1.24327475546568e-07,1.45640757068837e-07,99.7349823321555,99.905303030303,"Stanford_IMC_Tonsil_Citra_20min","Stanford_IMC_Tonsil_Tris_10min"
"CD8a","Stanford_IMC_Tonsil_Citra_20min",0.554987268810045,-0.0485655204708852,526090,0.440098310846986,1.24038138115856e-06,1.37447666560813e-06,99.6466431095406,99.905303030303,"Stanford_IMC_Tonsil_Citra_20min","Stanford_IMC_Tonsil_Tris_10min"
"VEGF","Stanford_IMC_Tonsil_Citra_20min",0.525003317022421,-0.245736249676864,91661,0.0766786125388157,2.3277952507027e-257,5.61409442816534e-257,99.5583038869258,100,"Stanford_IMC_Tonsil_Citra_20min","Stanford_IMC_Tonsil_Tris_10min"
"CD3","Stanford_IMC_Tonsil_Citra_20min",0.637624870727656,-0.0193912982967571,576187,0.482006739211907,0.145243138087009,0.148874216539185,99.9116607773852,99.6212121212121,"Stanford_IMC_Tonsil_Citra_20min","Stanford_IMC_Tonsil_Tris_10min"
"pCREB","Stanford_IMC_Tonsil_Citra_20min",0.801332929636692,0.0374102681720113,666736,0.557755112967127,2.93512926549643e-06,3.16684999698299e-06,100,99.5265151515152,"Stanford_IMC_Tonsil_Citra_20min","Stanford_IMC_Tonsil_Tris_10min"
"Granzyme B","Stanford_IMC_Tonsil_Citra_20min",0.467396433843695,-0.24649911491707,75049.5,0.0627823341631866,2.1701738088316e-274,8.08882965109961e-274,99.5583038869258,100,"Stanford_IMC_Tonsil_Citra_20min","Stanford_IMC_Tonsil_Tris_10min"
