"Staining_condition","Marker","CV","Is_Excluded","Rank","Score"
"Stanford_MIBI_Colon_1","Vimentin",0.588287332015656,FALSE,3,3
"Stanford_MIBI_Colon_1","SMA",0.486886968819934,FALSE,1,1
"Stanford_MIBI_Colon_1","MastCellTryptase_MastCellChymase",0.573387753883361,FALSE,2,2
"Stanford_MIBI_Colon_1","IDO",0.457720743602447,FALSE,3,3
"Stanford_MIBI_Colon_1","CD163",0.723615956587837,FALSE,2,2
"Stanford_MIBI_Colon_1","CD68",1.06514664237192,FALSE,2,2
"Stanford_MIBI_Colon_1","CD56",0.433195271446449,FALSE,1,1
"Stanford_MIBI_Colon_1","CD31",1.09305229135128,FALSE,1,1
"Stanford_MIBI_Colon_1","CD8",2.12357262729214,FALSE,1,1
"Stanford_MIBI_Colon_1","CD4",0.941170991053026,FALSE,1,1
"Stanford_MIBI_Colon_2","Vimentin",0.535827585789622,FALSE,1,1
"Stanford_MIBI_Colon_2","SMA",0.530750997896275,FALSE,3,3
"Stanford_MIBI_Colon_2","MastCellTryptase_MastCellChymase",NA,TRUE,NA,10
"Stanford_MIBI_Colon_2","IDO",0.445253915338072,FALSE,2,2
"Stanford_MIBI_Colon_2","CD163",0.741104577984223,FALSE,3,3
"Stanford_MIBI_Colon_2","CD68",1.04073346223951,FALSE,1,1
"Stanford_MIBI_Colon_2","CD56",0.481215489270172,FALSE,3,3
"Stanford_MIBI_Colon_2","CD31",1.21831061960356,FALSE,2,2
"Stanford_MIBI_Colon_2","CD8",2.3495731425776,FALSE,2,2
"Stanford_MIBI_Colon_2","CD4",0.949347820931644,FALSE,2,2
"Stanford_MIBI_Colon_24","Vimentin",0.722772749683382,FALSE,4,4
"Stanford_MIBI_Colon_24","SMA",0.72361099412453,FALSE,4,4
"Stanford_MIBI_Colon_24","MastCellTryptase_MastCellChymase",0.8543574085176,FALSE,3,3
"Stanford_MIBI_Colon_24","IDO",0.698820935987411,FALSE,4,4
"Stanford_MIBI_Colon_24","CD163",0.908704141760404,FALSE,4,4
"Stanford_MIBI_Colon_24","CD68",1.34237369557609,FALSE,4,4
"Stanford_MIBI_Colon_24","CD56",0.686838352793101,FALSE,4,4
"Stanford_MIBI_Colon_24","CD31",1.29888158384428,FALSE,4,4
"Stanford_MIBI_Colon_24","CD8",NA,TRUE,NA,10
"Stanford_MIBI_Colon_24","CD4",NA,TRUE,NA,10
"Stanford_MIBI_Colon_3","Vimentin",0.569602865380365,FALSE,2,2
"Stanford_MIBI_Colon_3","SMA",0.490695098268416,FALSE,2,2
"Stanford_MIBI_Colon_3","MastCellTryptase_MastCellChymase",0.535563557792222,FALSE,1,1
"Stanford_MIBI_Colon_3","IDO",0.415524725954249,FALSE,1,1
"Stanford_MIBI_Colon_3","CD163",0.670737205806664,FALSE,1,1
"Stanford_MIBI_Colon_3","CD68",1.2158736923389,FALSE,3,3
"Stanford_MIBI_Colon_3","CD56",0.466178960531013,FALSE,2,2
"Stanford_MIBI_Colon_3","CD31",1.22734050853235,FALSE,3,3
"Stanford_MIBI_Colon_3","CD8",2.60038186945979,FALSE,3,3
"Stanford_MIBI_Colon_3","CD4",NA,TRUE,NA,10
