"Staining_condition","Marker","CV","Is_Excluded","Z_score"
"Stanford_MIBI_Colon_1","Vimentin",0.588287332015656,FALSE,-0.193053935617108
"Stanford_MIBI_Colon_1","SMA",0.486886968819934,FALSE,-0.63376523342902
"Stanford_MIBI_Colon_1","MastCellTryptase_MastCellChymase",0.573387753883361,FALSE,-0.465350199229076
"Stanford_MIBI_Colon_1","IDO",0.457720743602447,FALSE,-0.356168483274836
"Stanford_MIBI_Colon_1","CD163",0.723615956587837,FALSE,-0.363743458264418
"Stanford_MIBI_Colon_1","CD68",1.06514664237192,FALSE,-0.716609335261336
"Stanford_MIBI_Colon_1","CD56",0.433195271446449,FALSE,-0.726975765596883
"Stanford_MIBI_Colon_1","CD31",1.09305229135128,FALSE,-1.36030606437833
"Stanford_MIBI_Colon_1","CD8",2.12357262729214,FALSE,-0.982213732030497
"Stanford_MIBI_Colon_1","CD4",0.941170991053026,FALSE,-0.707106781186557
"Stanford_MIBI_Colon_2","Vimentin",0.535827585789622,FALSE,-0.832609845635867
"Stanford_MIBI_Colon_2","SMA",0.530750997896275,FALSE,-0.242768473171808
"Stanford_MIBI_Colon_2","MastCellTryptase_MastCellChymase",NA,TRUE,NA
"Stanford_MIBI_Colon_2","IDO",0.445253915338072,FALSE,-0.451434617409126
"Stanford_MIBI_Colon_2","CD163",0.741104577984223,FALSE,-0.193764720904813
"Stanford_MIBI_Colon_2","CD68",1.04073346223951,FALSE,-0.890021366482989
"Stanford_MIBI_Colon_2","CD56",0.481215489270172,FALSE,-0.309705796444368
"Stanford_MIBI_Colon_2","CD31",1.21831061960356,FALSE,0.104227756670082
"Stanford_MIBI_Colon_2","CD8",2.3495731425776,FALSE,-0.0346707851435286
"Stanford_MIBI_Colon_2","CD4",0.949347820931644,FALSE,0.707106781186538
"Stanford_MIBI_Colon_24","Vimentin",0.722772749683382,FALSE,1.44650686801581
"Stanford_MIBI_Colon_24","SMA",0.72361099412453,FALSE,1.47635389876597
"Stanford_MIBI_Colon_24","MastCellTryptase_MastCellChymase",0.8543574085176,FALSE,1.1478728345648
"Stanford_MIBI_Colon_24","IDO",0.698820935987411,FALSE,1.48621538377382
"Stanford_MIBI_Colon_24","CD163",0.908704141760404,FALSE,1.43520085545459
"Stanford_MIBI_Colon_24","CD68",1.34237369557609,FALSE,1.25259361761023
"Stanford_MIBI_Colon_24","CD56",0.686838352793101,FALSE,1.4770467383781
"Stanford_MIBI_Colon_24","CD31",1.29888158384428,FALSE,1.04627212027801
"Stanford_MIBI_Colon_24","CD8",NA,TRUE,NA
"Stanford_MIBI_Colon_24","CD4",NA,TRUE,NA
"Stanford_MIBI_Colon_3","Vimentin",0.569602865380365,FALSE,-0.420843086762831
"Stanford_MIBI_Colon_3","SMA",0.490695098268416,FALSE,-0.599820192165138
"Stanford_MIBI_Colon_3","MastCellTryptase_MastCellChymase",0.535563557792222,FALSE,-0.682522635335726
"Stanford_MIBI_Colon_3","IDO",0.415524725954249,FALSE,-0.678612283089854
"Stanford_MIBI_Colon_3","CD163",0.670737205806664,FALSE,-0.877692676285354
"Stanford_MIBI_Colon_3","CD68",1.2158736923389,FALSE,0.354037084134089
"Stanford_MIBI_Colon_3","CD56",0.466178960531013,FALSE,-0.440365176336855
"Stanford_MIBI_Colon_3","CD31",1.22734050853235,FALSE,0.209806187430231
"Stanford_MIBI_Colon_3","CD8",2.60038186945979,FALSE,1.01688451717403
"Stanford_MIBI_Colon_3","CD4",NA,TRUE,NA
