"Staining_condition","Marker","CV","Is_Excluded","Rank","Score"
"Stanford_MIBI_Liver_Citra_20min","Vimentin",0.353421129822734,FALSE,4,4
"Stanford_MIBI_Liver_Citra_20min","aSMA",0.181432243981537,FALSE,3,3
"Stanford_MIBI_Liver_Citra_20min","HLADR",0.424699835708816,FALSE,4,4
"Stanford_MIBI_Liver_Citra_20min","HLA1 ABC",0.288797557495585,FALSE,2,2
"Stanford_MIBI_Liver_Citra_20min","Granzyme B",0.718982282121768,FALSE,2,2
"Stanford_MIBI_Liver_Citra_20min","CD163",0.183470177436445,FALSE,2,2
"Stanford_MIBI_Liver_Citra_20min","CD68",0.203625953413345,FALSE,2,2
"Stanford_MIBI_Liver_Citra_20min","CD45",0.266255004288054,FALSE,4,4
"Stanford_MIBI_Liver_Citra_20min","CD31",NA,TRUE,NA,10
"Stanford_MIBI_Liver_Citra_20min","CD14",0.0361163741895859,FALSE,1,1
"Stanford_MIBI_Liver_Citra_20min","CD8",NA,TRUE,NA,10
"Stanford_MIBI_Liver_Citra_20min","CD4",0.37063235333544,FALSE,2,2
"Stanford_MIBI_Liver_Citra_20min","CD3e",NA,TRUE,NA,10
"Stanford_MIBI_Liver_Citra_20min","Calprotein",0.651098477913993,FALSE,1,1
"Stanford_MIBI_Liver_Tris_10min","Vimentin",0.316318031524108,FALSE,3,3
"Stanford_MIBI_Liver_Tris_10min","aSMA",0.219388509142971,FALSE,4,4
"Stanford_MIBI_Liver_Tris_10min","HLADR",0.329594221467793,FALSE,3,3
"Stanford_MIBI_Liver_Tris_10min","HLA1 ABC",0.32815590866488,FALSE,4,4
"Stanford_MIBI_Liver_Tris_10min","Granzyme B",0.959116689691881,FALSE,4,4
"Stanford_MIBI_Liver_Tris_10min","CD163",0.21003174568041,FALSE,3,3
"Stanford_MIBI_Liver_Tris_10min","CD68",0.268337998571829,FALSE,4,4
"Stanford_MIBI_Liver_Tris_10min","CD45",0.0969501511260003,FALSE,2,2
"Stanford_MIBI_Liver_Tris_10min","CD31",0.409196843920945,FALSE,3,3
"Stanford_MIBI_Liver_Tris_10min","CD14",0.124400588370578,FALSE,3,3
"Stanford_MIBI_Liver_Tris_10min","CD8",1.01809875660499,FALSE,3,3
"Stanford_MIBI_Liver_Tris_10min","CD4",0.482788906593767,FALSE,4,4
"Stanford_MIBI_Liver_Tris_10min","CD3e",NA,TRUE,NA,10
"Stanford_MIBI_Liver_Tris_10min","Calprotein",0.976447551883524,FALSE,4,4
"Stanford_MIBI_Liver_Tris_20min","Vimentin",0.139453714917106,FALSE,1,1
"Stanford_MIBI_Liver_Tris_20min","aSMA",0.163495386743175,FALSE,1,1
"Stanford_MIBI_Liver_Tris_20min","HLADR",0.144742054757681,FALSE,1,1
"Stanford_MIBI_Liver_Tris_20min","HLA1 ABC",0.161586464398452,FALSE,1,1
"Stanford_MIBI_Liver_Tris_20min","Granzyme B",0.615271420672372,FALSE,1,1
"Stanford_MIBI_Liver_Tris_20min","CD163",0.104076954876891,FALSE,1,1
"Stanford_MIBI_Liver_Tris_20min","CD68",0.164342371408925,FALSE,1,1
"Stanford_MIBI_Liver_Tris_20min","CD45",0.0940763738902892,FALSE,1,1
"Stanford_MIBI_Liver_Tris_20min","CD31",0.266748939165361,FALSE,1,1
"Stanford_MIBI_Liver_Tris_20min","CD14",0.061084929981252,FALSE,2,2
"Stanford_MIBI_Liver_Tris_20min","CD8",0.574128204404004,FALSE,1,1
"Stanford_MIBI_Liver_Tris_20min","CD4",0.288633074799516,FALSE,1,1
"Stanford_MIBI_Liver_Tris_20min","CD3e",0.249735925531117,FALSE,1,1
"Stanford_MIBI_Liver_Tris_20min","Calprotein",0.688484870836697,FALSE,2,2
"Stanford_MIBI_Liver_Tris_40min","Vimentin",0.209327498802097,FALSE,2,2
"Stanford_MIBI_Liver_Tris_40min","aSMA",0.180283133235094,FALSE,2,2
"Stanford_MIBI_Liver_Tris_40min","HLADR",0.301389849361404,FALSE,2,2
"Stanford_MIBI_Liver_Tris_40min","HLA1 ABC",0.319852481319768,FALSE,3,3
"Stanford_MIBI_Liver_Tris_40min","Granzyme B",0.792181245847947,FALSE,3,3
"Stanford_MIBI_Liver_Tris_40min","CD163",0.238248319018556,FALSE,4,4
"Stanford_MIBI_Liver_Tris_40min","CD68",0.227829163156903,FALSE,3,3
"Stanford_MIBI_Liver_Tris_40min","CD45",0.1254251664468,FALSE,3,3
"Stanford_MIBI_Liver_Tris_40min","CD31",0.329768075461854,FALSE,2,2
"Stanford_MIBI_Liver_Tris_40min","CD14",0.132908301893732,FALSE,4,4
"Stanford_MIBI_Liver_Tris_40min","CD8",0.681376377732451,FALSE,2,2
"Stanford_MIBI_Liver_Tris_40min","CD4",0.380552890265458,FALSE,3,3
"Stanford_MIBI_Liver_Tris_40min","CD3e",0.299902199865019,FALSE,2,2
"Stanford_MIBI_Liver_Tris_40min","Calprotein",0.863228416794355,FALSE,3,3
