"Staining_condition","Marker","CV","Is_Excluded","Z_score"
"Stanford_MIBI_Liver_Citra_20min","Vimentin",0.353421129822734,FALSE,1.00683212402286
"Stanford_MIBI_Liver_Citra_20min","aSMA",0.181432243981537,FALSE,-0.199668664853824
"Stanford_MIBI_Liver_Citra_20min","HLADR",0.424699835708816,FALSE,1.07189504496801
"Stanford_MIBI_Liver_Citra_20min","HLA1 ABC",0.288797557495585,FALSE,0.183878663734374
"Stanford_MIBI_Liver_Citra_20min","Granzyme B",0.718982282121768,FALSE,-0.362228288335238
"Stanford_MIBI_Liver_Citra_20min","CD163",0.183470177436445,FALSE,-0.00842495797904652
"Stanford_MIBI_Liver_Citra_20min","CD68",0.203625953413345,FALSE,-0.28463673765858
"Stanford_MIBI_Liver_Citra_20min","CD45",0.266255004288054,FALSE,1.4772895405883
"Stanford_MIBI_Liver_Citra_20min","CD31",NA,TRUE,NA
"Stanford_MIBI_Liver_Citra_20min","CD14",0.0361163741895859,FALSE,-1.10649891835564
"Stanford_MIBI_Liver_Citra_20min","CD8",NA,TRUE,NA
"Stanford_MIBI_Liver_Citra_20min","CD4",0.37063235333544,FALSE,-0.125901162241991
"Stanford_MIBI_Liver_Citra_20min","CD3e",NA,TRUE,NA
"Stanford_MIBI_Liver_Citra_20min","Calprotein",0.651098477913993,FALSE,-0.943331883437571
"Stanford_MIBI_Liver_Tris_10min","Vimentin",0.316318031524108,FALSE,0.628694665816884
"Stanford_MIBI_Liver_Tris_10min","aSMA",0.219388509142971,FALSE,1.40680879900028
"Stanford_MIBI_Liver_Tris_10min","HLADR",0.329594221467793,FALSE,0.253687328186109
"Stanford_MIBI_Liver_Tris_10min","HLA1 ABC",0.32815590866488,FALSE,0.69355746911318
"Stanford_MIBI_Liver_Tris_10min","Granzyme B",0.959116689691881,FALSE,1.29758344635011
"Stanford_MIBI_Liver_Tris_10min","CD163",0.21003174568041,FALSE,0.451439537744614
"Stanford_MIBI_Liver_Tris_10min","CD68",0.268337998571829,FALSE,1.19985285100557
"Stanford_MIBI_Liver_Tris_10min","CD45",0.0969501511260003,FALSE,-0.596982743831205
"Stanford_MIBI_Liver_Tris_10min","CD31",0.409196843920945,FALSE,1.036110063761
"Stanford_MIBI_Liver_Tris_10min","CD14",0.124400588370578,FALSE,0.753798219912624
"Stanford_MIBI_Liver_Tris_10min","CD8",1.01809875660499,FALSE,1.12333874866131
"Stanford_MIBI_Liver_Tris_10min","CD4",0.482788906593767,FALSE,1.28342133577681
"Stanford_MIBI_Liver_Tris_10min","CD3e",NA,TRUE,NA
"Stanford_MIBI_Liver_Tris_10min","Calprotein",0.976447551883524,FALSE,1.19220907373566
"Stanford_MIBI_Liver_Tris_20min","Vimentin",0.139453714917106,FALSE,-1.17382388912504
"Stanford_MIBI_Liver_Tris_20min","aSMA",0.163495386743175,FALSE,-0.958836006615223
"Stanford_MIBI_Liver_Tris_20min","HLADR",0.144742054757681,FALSE,-1.33662330145523
"Stanford_MIBI_Liver_Tris_20min","HLA1 ABC",0.161586464398452,FALSE,-1.46346671620267
"Stanford_MIBI_Liver_Tris_20min","Granzyme B",0.615271420672372,FALSE,-1.07907893289675
"Stanford_MIBI_Liver_Tris_20min","CD163",0.104076954876891,FALSE,-1.38297196969478
"Stanford_MIBI_Liver_Tris_20min","CD68",0.164342371408925,FALSE,-1.18579923913999
"Stanford_MIBI_Liver_Tris_20min","CD45",0.0940763738902892,FALSE,-0.632191400643456
"Stanford_MIBI_Liver_Tris_20min","CD31",0.266748939165361,FALSE,-0.95948107532366
"Stanford_MIBI_Liver_Tris_20min","CD14",0.061084929981252,FALSE,-0.580369379605908
"Stanford_MIBI_Liver_Tris_20min","CD8",0.574128204404004,FALSE,-0.793148405383214
"Stanford_MIBI_Liver_Tris_20min","CD4",0.288633074799516,FALSE,-1.15627722770304
"Stanford_MIBI_Liver_Tris_20min","CD3e",0.249735925531117,FALSE,-0.707106781186547
"Stanford_MIBI_Liver_Tris_20min","Calprotein",0.688484870836697,FALSE,-0.697933387744039
"Stanford_MIBI_Liver_Tris_40min","Vimentin",0.209327498802097,FALSE,-0.461702900714699
"Stanford_MIBI_Liver_Tris_40min","aSMA",0.180283133235094,FALSE,-0.248304127531234
"Stanford_MIBI_Liver_Tris_40min","HLADR",0.301389849361404,FALSE,0.0110409283011099
"Stanford_MIBI_Liver_Tris_40min","HLA1 ABC",0.319852481319768,FALSE,0.58603058335512
"Stanford_MIBI_Liver_Tris_40min","Granzyme B",0.792181245847947,FALSE,0.143723774881882
"Stanford_MIBI_Liver_Tris_40min","CD163",0.238248319018556,FALSE,0.93995738992921
"Stanford_MIBI_Liver_Tris_40min","CD68",0.227829163156903,FALSE,0.270583125792998
"Stanford_MIBI_Liver_Tris_40min","CD45",0.1254251664468,FALSE,-0.248115396113643
"Stanford_MIBI_Liver_Tris_40min","CD31",0.329768075461854,FALSE,-0.0766289884373407
"Stanford_MIBI_Liver_Tris_40min","CD14",0.132908301893732,FALSE,0.933070078048921
"Stanford_MIBI_Liver_Tris_40min","CD8",0.681376377732451,FALSE,-0.330190343278096
"Stanford_MIBI_Liver_Tris_40min","CD4",0.380552890265458,FALSE,-0.00124294583177626
"Stanford_MIBI_Liver_Tris_40min","CD3e",0.299902199865019,FALSE,0.707106781186548
"Stanford_MIBI_Liver_Tris_40min","Calprotein",0.863228416794355,FALSE,0.449056197445953
