"Marker","Best_Condition","Worst_Condition","Min_CV","Max_CV","CV_Range","Failed_Conditions","Excluded_Conditions"
"CD8","Stanford_MIBI_Liver_Tris_20min","Stanford_MIBI_Liver_Citra_20min",0.574128204404004,1.01809875660499,0.443970552200988,1,1
"Granzyme B","Stanford_MIBI_Liver_Tris_20min","Stanford_MIBI_Liver_Tris_10min",0.615271420672372,0.959116689691881,0.343845269019508,0,0
"Calprotein","Stanford_MIBI_Liver_Citra_20min","Stanford_MIBI_Liver_Tris_10min",0.651098477913993,0.976447551883524,0.325349073969532,0,0
"HLADR","Stanford_MIBI_Liver_Tris_20min","Stanford_MIBI_Liver_Citra_20min",0.144742054757681,0.424699835708816,0.279957780951135,0,0
"Vimentin","Stanford_MIBI_Liver_Tris_20min","Stanford_MIBI_Liver_Citra_20min",0.139453714917106,0.353421129822734,0.213967414905628,0,0
"CD4","Stanford_MIBI_Liver_Tris_20min","Stanford_MIBI_Liver_Tris_10min",0.288633074799516,0.482788906593767,0.19415583179425,0,0
"CD45","Stanford_MIBI_Liver_Tris_20min","Stanford_MIBI_Liver_Citra_20min",0.0940763738902892,0.266255004288054,0.172178630397764,0,0
"HLA1 ABC","Stanford_MIBI_Liver_Tris_20min","Stanford_MIBI_Liver_Tris_10min",0.161586464398452,0.32815590866488,0.166569444266428,0,0
"CD31","Stanford_MIBI_Liver_Tris_20min","Stanford_MIBI_Liver_Citra_20min",0.266748939165361,0.409196843920945,0.142447904755585,1,1
"CD163","Stanford_MIBI_Liver_Tris_20min","Stanford_MIBI_Liver_Tris_40min",0.104076954876891,0.238248319018556,0.134171364141666,0,0
"CD68","Stanford_MIBI_Liver_Tris_20min","Stanford_MIBI_Liver_Tris_10min",0.164342371408925,0.268337998571829,0.103995627162904,0,0
"CD14","Stanford_MIBI_Liver_Citra_20min","Stanford_MIBI_Liver_Tris_40min",0.0361163741895859,0.132908301893732,0.096791927704146,0,0
"aSMA","Stanford_MIBI_Liver_Tris_20min","Stanford_MIBI_Liver_Tris_10min",0.163495386743175,0.219388509142971,0.0558931223997959,0,0
"CD3e","Stanford_MIBI_Liver_Tris_20min","Stanford_MIBI_Liver_Citra_20min",0.249735925531117,0.299902199865019,0.0501662743339017,2,2
