"Staining_condition","Marker","CV","Is_Excluded","Rank","Score"
"Stanford_MIBI_LymphNode_1","Vimentin",0.333639189279633,FALSE,4,4
"Stanford_MIBI_LymphNode_1","SMA",0.453819018942533,FALSE,3,3
"Stanford_MIBI_LymphNode_1","PD1",0.591435045591102,FALSE,2,2
"Stanford_MIBI_LymphNode_1","MastCellTryptase_MastCellChymase",0.448251019060012,FALSE,4,4
"Stanford_MIBI_LymphNode_1","Ki67",0.32644218773571,FALSE,4,4
"Stanford_MIBI_LymphNode_1","IDO",0.323432154935274,FALSE,4,4
"Stanford_MIBI_LymphNode_1","ICOS",0.252402873925313,FALSE,1,1
"Stanford_MIBI_LymphNode_1","HLADR",0.465817380140204,FALSE,4,4
"Stanford_MIBI_LymphNode_1","HLA1ABC",0.375259916369727,FALSE,4,4
"Stanford_MIBI_LymphNode_1","GranzymeB",0.773943267539699,FALSE,2,2
"Stanford_MIBI_LymphNode_1","FOXP3",0.496458207627414,FALSE,2,2
"Stanford_MIBI_LymphNode_1","CD68",0.461380480877607,FALSE,3,3
"Stanford_MIBI_LymphNode_1","CD45",0.245077246534663,FALSE,4,4
"Stanford_MIBI_LymphNode_1","CD31",0.44462706511097,FALSE,3,3
"Stanford_MIBI_LymphNode_1","CD20",0.399583392617299,FALSE,4,4
"Stanford_MIBI_LymphNode_1","CD14",0.500488098725976,FALSE,4,4
"Stanford_MIBI_LymphNode_1","CD11c",0.586547524212944,FALSE,3,3
"Stanford_MIBI_LymphNode_1","CD8",0.580905403295785,FALSE,3,3
"Stanford_MIBI_LymphNode_1","CD4",0.350703652979068,FALSE,1,1
"Stanford_MIBI_LymphNode_1","CD3e",0.386016301087101,FALSE,3,3
"Stanford_MIBI_LymphNode_1","Calprotectin",0.717065491735395,FALSE,2,2
"Stanford_MIBI_LymphNode_2","Vimentin",0.267135909936585,FALSE,3,3
"Stanford_MIBI_LymphNode_2","SMA",0.434841059517087,FALSE,2,2
"Stanford_MIBI_LymphNode_2","PD1",0.590243204504635,FALSE,1,1
"Stanford_MIBI_LymphNode_2","MastCellTryptase_MastCellChymase",0.369652438398418,FALSE,2,2
