"Marker","Best_Condition","Worst_Condition","Min_CV","Max_CV","CV_Range","Failed_Conditions","Excluded_Conditions"
"Granzyme B","Stanford_MIBI_Slide3","Stanford_MIBI_Slide5",0.408510078935899,0.77727740421625,0.368767325280352,0,0
"CD8","Stanford_MIBI_Slide3","Stanford_MIBI_Slide5",0.261764712901867,0.530260206862118,0.268495493960252,0,0
"PD1","Stanford_MIBI_Slide3","Stanford_MIBI_Slide5",0.287933767087286,0.503803870770647,0.215870103683361,0,0
"Calprotein","Stanford_MIBI_Slide3","Stanford_MIBI_Slide5",0.52707424470867,0.7315829734032,0.20450872869453,0,0
"CD3e","Stanford_MIBI_Slide3","Stanford_MIBI_Slide5",0.134933627199214,0.290852003158319,0.155918375959105,0,0
"CD14","Stanford_MIBI_Slide4","Stanford_MIBI_Slide5",0.126404742663357,0.248550063409652,0.122145320746295,0,0
"CD68","Stanford_MIBI_Slide3","Stanford_MIBI_Slide5",0.106588801645928,0.222302425181427,0.115713623535499,0,0
"Mast Cell Tryptase","Stanford_MIBI_Slide4","Stanford_MIBI_Slide2",0.0684865724958544,0.183145912210399,0.114659339714544,0,0
"HLA1 ABC","Stanford_MIBI_Slide4","Stanford_MIBI_Slide2",0.0915219197307894,0.203150372335525,0.111628452604735,0,0
"CD11c","Stanford_MIBI_Slide4","Stanford_MIBI_Slide5",0.333002423844534,0.44288095463729,0.109878530792756,0,0
"CD4","Stanford_MIBI_Slide3","Stanford_MIBI_Slide5",0.116557671641417,0.224410284238173,0.107852612596757,0,0
"HLADR","Stanford_MIBI_Slide4","Stanford_MIBI_Slide2",0.136108190738702,0.242010303116136,0.105902112377435,0,0
"ICOS","Stanford_MIBI_Slide2","Stanford_MIBI_Slide5",0.0812463677261783,0.177067036485352,0.0958206687591738,0,0
"CD31","Stanford_MIBI_Slide3","Stanford_MIBI_Slide5",0.113427006616654,0.206850043170082,0.0934230365534276,0,0
"IDO","Stanford_MIBI_Slide3","Stanford_MIBI_Slide2",0.0528909321341664,0.144013838090532,0.0911229059563659,0,0
"Vimentin","Stanford_MIBI_Slide4","Stanford_MIBI_Slide2",0.033496768262034,0.117506541934876,0.0840097736728422,0,0
"FOXP3","Stanford_MIBI_Slide3","Stanford_MIBI_Slide5",0.238767050940489,0.319057596354048,0.0802905454135592,1,1
"Ki67","Stanford_MIBI_Slide3","Stanford_MIBI_Slide5",0.119299093850917,0.178222557683157,0.05892346383224,0,0
"aSMA","Stanford_MIBI_Slide3","Stanford_MIBI_Slide5",0.0648894349229754,0.107084523997229,0.0421950890742535,0,0
"CD45","Stanford_MIBI_Slide4","Stanford_MIBI_Slide2",0.0382026668800863,0.0694051699846688,0.0312025031045825,0,0
"CD20","Stanford_MIBI_Slide4","Stanford_MIBI_Slide2",0.13084629379731,0.159926154668199,0.0290798608708885,0,0
