"Staining_condition","Marker","CV","Is_Excluded","Rank","Score"
"Stanford_Orion_Endometrium_Citra_20min","CD68",0.355971572463616,FALSE,1,1
"Stanford_Orion_Endometrium_Citra_20min","CK",0.317538956082714,FALSE,1,1
"Stanford_Orion_Endometrium_Citra_20min","CD163",0.149022575316572,FALSE,1,1
"Stanford_Orion_Endometrium_Citra_20min","CD8a",0.211331778813913,FALSE,3,3
"Stanford_Orion_Endometrium_Citra_20min","CD4",NA,TRUE,NA,10
"Stanford_Orion_Endometrium_Citra_20min","PDL1",NA,TRUE,NA,10
"Stanford_Orion_Endometrium_Citra_20min","CD3e",0.548575074985354,FALSE,2,2
"Stanford_Orion_Endometrium_Citra_20min","CD45RO",NA,TRUE,NA,10
"Stanford_Orion_Endometrium_Citra_20min","PD1",NA,TRUE,NA,10
"Stanford_Orion_Endometrium_Citra_20min","CD31",0.534628626783706,FALSE,1,1
"Stanford_Orion_Endometrium_Citra_20min","aSMA",0.473685272707184,FALSE,1,1
"Stanford_Orion_Endometrium_Citra_20min","HLA ABC",0.267800582537342,FALSE,3,3
"Stanford_Orion_Endometrium_Citra_20min","Vimentin",0.460926829895296,FALSE,3,3
"Stanford_Orion_Endometrium_Tris_10min","CD68",0.713251291928713,FALSE,3,3
"Stanford_Orion_Endometrium_Tris_10min","CK",0.752642119707787,FALSE,4,4
"Stanford_Orion_Endometrium_Tris_10min","CD163",0.325969626687576,FALSE,3,3
"Stanford_Orion_Endometrium_Tris_10min","CD8a",0.243140536784141,FALSE,4,4
"Stanford_Orion_Endometrium_Tris_10min","CD4",0.625524570210967,FALSE,3,3
"Stanford_Orion_Endometrium_Tris_10min","PDL1",0.607645059984844,FALSE,3,3
"Stanford_Orion_Endometrium_Tris_10min","CD3e",0.958956158781384,FALSE,4,4
"Stanford_Orion_Endometrium_Tris_10min","CD45RO",NA,TRUE,NA,10
"Stanford_Orion_Endometrium_Tris_10min","PD1",0.603499230209852,FALSE,3,3
"Stanford_Orion_Endometrium_Tris_10min","CD31",1.10961309309637,FALSE,4,4
"Stanford_Orion_Endometrium_Tris_10min","aSMA",0.985167533386129,FALSE,4,4
"Stanford_Orion_Endometrium_Tris_10min","HLA ABC",0.443674407431733,FALSE,4,4
"Stanford_Orion_Endometrium_Tris_10min","Vimentin",0.652822616661231,FALSE,4,4
"Stanford_Orion_Endometrium_Tris_20min","CD68",0.726265720287171,FALSE,4,4
"Stanford_Orion_Endometrium_Tris_20min","CK",0.608911157006281,FALSE,3,3
"Stanford_Orion_Endometrium_Tris_20min","CD163",0.356277816162176,FALSE,4,4
"Stanford_Orion_Endometrium_Tris_20min","CD8a",0.176746312859277,FALSE,2,2
"Stanford_Orion_Endometrium_Tris_20min","CD4",0.29884527492171,FALSE,2,2
"Stanford_Orion_Endometrium_Tris_20min","PDL1",0.42595740101707,FALSE,2,2
"Stanford_Orion_Endometrium_Tris_20min","CD3e",0.622186801984996,FALSE,3,3
"Stanford_Orion_Endometrium_Tris_20min","CD45RO",0.298508709089477,FALSE,2,2
"Stanford_Orion_Endometrium_Tris_20min","PD1",0.309541792503045,FALSE,2,2
"Stanford_Orion_Endometrium_Tris_20min","CD31",0.949881859878141,FALSE,3,3
"Stanford_Orion_Endometrium_Tris_20min","aSMA",0.810481824044535,FALSE,3,3
"Stanford_Orion_Endometrium_Tris_20min","HLA ABC",0.133229241806701,FALSE,2,2
"Stanford_Orion_Endometrium_Tris_20min","Vimentin",0.410506149697692,FALSE,2,2
"Stanford_Orion_Endometrium_Tris_40min","CD68",0.416709979126687,FALSE,2,2
"Stanford_Orion_Endometrium_Tris_40min","CK",0.355900323393373,FALSE,2,2
"Stanford_Orion_Endometrium_Tris_40min","CD163",0.270097448804212,FALSE,2,2
"Stanford_Orion_Endometrium_Tris_40min","CD8a",0.14303579574043,FALSE,1,1
"Stanford_Orion_Endometrium_Tris_40min","CD4",0.191015053819662,FALSE,1,1
"Stanford_Orion_Endometrium_Tris_40min","PDL1",0.188432548513645,FALSE,1,1
"Stanford_Orion_Endometrium_Tris_40min","CD3e",0.396980226754491,FALSE,1,1
"Stanford_Orion_Endometrium_Tris_40min","CD45RO",0.178249676986059,FALSE,1,1
"Stanford_Orion_Endometrium_Tris_40min","PD1",0.162043413698713,FALSE,1,1
"Stanford_Orion_Endometrium_Tris_40min","CD31",0.656309552822453,FALSE,2,2
"Stanford_Orion_Endometrium_Tris_40min","aSMA",0.589281926925235,FALSE,2,2
"Stanford_Orion_Endometrium_Tris_40min","HLA ABC",0.123557963847496,FALSE,1,1
"Stanford_Orion_Endometrium_Tris_40min","Vimentin",0.308572552824396,FALSE,1,1
