"Staining_condition","Marker","CV","Is_Excluded"
"Stanford_Orion_Endometrium_Citra_20min","CD68",0.355971572463616,FALSE
"Stanford_Orion_Endometrium_Citra_20min","CK",0.317538956082714,FALSE
"Stanford_Orion_Endometrium_Citra_20min","CD163",0.149022575316572,FALSE
"Stanford_Orion_Endometrium_Citra_20min","CD8a",0.211331778813913,FALSE
"Stanford_Orion_Endometrium_Citra_20min","CD4",NA,TRUE
"Stanford_Orion_Endometrium_Citra_20min","PDL1",NA,TRUE
"Stanford_Orion_Endometrium_Citra_20min","CD3e",0.548575074985354,FALSE
"Stanford_Orion_Endometrium_Citra_20min","CD45RO",NA,TRUE
"Stanford_Orion_Endometrium_Citra_20min","PD1",NA,TRUE
"Stanford_Orion_Endometrium_Citra_20min","CD31",0.534628626783706,FALSE
"Stanford_Orion_Endometrium_Citra_20min","aSMA",0.473685272707184,FALSE
"Stanford_Orion_Endometrium_Citra_20min","HLA ABC",0.267800582537342,FALSE
"Stanford_Orion_Endometrium_Citra_20min","Vimentin",0.460926829895296,FALSE
"Stanford_Orion_Endometrium_Tris_10min","CD68",0.713251291928713,FALSE
"Stanford_Orion_Endometrium_Tris_10min","CK",0.752642119707787,FALSE
"Stanford_Orion_Endometrium_Tris_10min","CD163",0.325969626687576,FALSE
"Stanford_Orion_Endometrium_Tris_10min","CD8a",0.243140536784141,FALSE
"Stanford_Orion_Endometrium_Tris_10min","CD4",0.625524570210967,FALSE
"Stanford_Orion_Endometrium_Tris_10min","PDL1",0.607645059984844,FALSE
"Stanford_Orion_Endometrium_Tris_10min","CD3e",0.958956158781384,FALSE
"Stanford_Orion_Endometrium_Tris_10min","CD45RO",NA,TRUE
"Stanford_Orion_Endometrium_Tris_10min","PD1",0.603499230209852,FALSE
"Stanford_Orion_Endometrium_Tris_10min","CD31",1.10961309309637,FALSE
"Stanford_Orion_Endometrium_Tris_10min","aSMA",0.985167533386129,FALSE
"Stanford_Orion_Endometrium_Tris_10min","HLA ABC",0.443674407431733,FALSE
"Stanford_Orion_Endometrium_Tris_10min","Vimentin",0.652822616661231,FALSE
"Stanford_Orion_Endometrium_Tris_20min","CD68",0.726265720287171,FALSE
"Stanford_Orion_Endometrium_Tris_20min","CK",0.608911157006281,FALSE
"Stanford_Orion_Endometrium_Tris_20min","CD163",0.356277816162176,FALSE
"Stanford_Orion_Endometrium_Tris_20min","CD8a",0.176746312859277,FALSE
"Stanford_Orion_Endometrium_Tris_20min","CD4",0.29884527492171,FALSE
"Stanford_Orion_Endometrium_Tris_20min","PDL1",0.42595740101707,FALSE
"Stanford_Orion_Endometrium_Tris_20min","CD3e",0.622186801984996,FALSE
"Stanford_Orion_Endometrium_Tris_20min","CD45RO",0.298508709089477,FALSE
"Stanford_Orion_Endometrium_Tris_20min","PD1",0.309541792503045,FALSE
"Stanford_Orion_Endometrium_Tris_20min","CD31",0.949881859878141,FALSE
"Stanford_Orion_Endometrium_Tris_20min","aSMA",0.810481824044535,FALSE
"Stanford_Orion_Endometrium_Tris_20min","HLA ABC",0.133229241806701,FALSE
"Stanford_Orion_Endometrium_Tris_20min","Vimentin",0.410506149697692,FALSE
"Stanford_Orion_Endometrium_Tris_40min","CD68",0.416709979126687,FALSE
"Stanford_Orion_Endometrium_Tris_40min","CK",0.355900323393373,FALSE
"Stanford_Orion_Endometrium_Tris_40min","CD163",0.270097448804212,FALSE
"Stanford_Orion_Endometrium_Tris_40min","CD8a",0.14303579574043,FALSE
"Stanford_Orion_Endometrium_Tris_40min","CD4",0.191015053819662,FALSE
"Stanford_Orion_Endometrium_Tris_40min","PDL1",0.188432548513645,FALSE
"Stanford_Orion_Endometrium_Tris_40min","CD3e",0.396980226754491,FALSE
"Stanford_Orion_Endometrium_Tris_40min","CD45RO",0.178249676986059,FALSE
"Stanford_Orion_Endometrium_Tris_40min","PD1",0.162043413698713,FALSE
"Stanford_Orion_Endometrium_Tris_40min","CD31",0.656309552822453,FALSE
"Stanford_Orion_Endometrium_Tris_40min","aSMA",0.589281926925235,FALSE
"Stanford_Orion_Endometrium_Tris_40min","HLA ABC",0.123557963847496,FALSE
"Stanford_Orion_Endometrium_Tris_40min","Vimentin",0.308572552824396,FALSE
