"Staining_condition","Marker","CV","Is_Excluded","Z_score"
"Stanford_Orion_Endometrium_Citra_20min","CD68",0.355971572463616,FALSE,-1.01501873563124
"Stanford_Orion_Endometrium_Citra_20min","CK",0.317538956082714,FALSE,-0.92052290704605
"Stanford_Orion_Endometrium_Citra_20min","CD163",0.149022575316572,FALSE,-1.38105799466434
"Stanford_Orion_Endometrium_Citra_20min","CD8a",0.211331778813913,FALSE,0.410906328129594
"Stanford_Orion_Endometrium_Citra_20min","CD4",NA,TRUE,NA
"Stanford_Orion_Endometrium_Citra_20min","PDL1",NA,TRUE,NA
"Stanford_Orion_Endometrium_Citra_20min","CD3e",0.548575074985354,FALSE,-0.349922094743188
"Stanford_Orion_Endometrium_Citra_20min","CD45RO",NA,TRUE,NA
"Stanford_Orion_Endometrium_Citra_20min","PD1",NA,TRUE,NA
"Stanford_Orion_Endometrium_Citra_20min","CD31",0.534628626783706,FALSE,-1.05378547455072
"Stanford_Orion_Endometrium_Citra_20min","aSMA",0.473685272707184,FALSE,-1.05622888178913
"Stanford_Orion_Endometrium_Citra_20min","HLA ABC",0.267800582537342,FALSE,0.171952223988371
"Stanford_Orion_Endometrium_Citra_20min","Vimentin",0.460926829895296,FALSE,0.0188359729367643
"Stanford_Orion_Endometrium_Tris_10min","CD68",0.713251291928713,FALSE,0.825092708024174
"Stanford_Orion_Endometrium_Tris_10min","CK",0.752642119707787,FALSE,1.17415906813276
"Stanford_Orion_Endometrium_Tris_10min","CD163",0.325969626687576,FALSE,0.553516979350978
"Stanford_Orion_Endometrium_Tris_10min","CD8a",0.243140536784141,FALSE,1.14651488581111
"Stanford_Orion_Endometrium_Tris_10min","CD4",0.625524570210967,FALSE,1.1214369802686
"Stanford_Orion_Endometrium_Tris_10min","PDL1",0.607645059984844,FALSE,0.95278843342326
"Stanford_Orion_Endometrium_Tris_10min","CD3e",0.958956158781384,FALSE,1.37814395448102
"Stanford_Orion_Endometrium_Tris_10min","CD45RO",NA,TRUE,NA
"Stanford_Orion_Endometrium_Tris_10min","PD1",0.603499230209852,FALSE,1.09075871082131
"Stanford_Orion_Endometrium_Tris_10min","CD31",1.10961309309637,FALSE,1.12590740881879
"Stanford_Orion_Endometrium_Tris_10min","aSMA",0.985167533386129,FALSE,1.18573018938635
"Stanford_Orion_Endometrium_Tris_10min","HLA ABC",0.443674407431733,FALSE,1.34707776549483
"Stanford_Orion_Endometrium_Tris_10min","Vimentin",0.652822616661231,FALSE,1.34781370900563
"Stanford_Orion_Endometrium_Tris_20min","CD68",0.726265720287171,FALSE,0.892121417604683
"Stanford_Orion_Endometrium_Tris_20min","CK",0.608911157006281,FALSE,0.482206717482022
"Stanford_Orion_Endometrium_Tris_20min","CD163",0.356277816162176,FALSE,0.884878617824051
"Stanford_Orion_Endometrium_Tris_20min","CD8a",0.176746312859277,FALSE,-0.388916310385391
"Stanford_Orion_Endometrium_Tris_20min","CD4",0.29884527492171,FALSE,-0.322423873190188
"Stanford_Orion_Endometrium_Tris_20min","PDL1",0.42595740101707,FALSE,0.0885355584384655
"Stanford_Orion_Endometrium_Tris_20min","CD3e",0.622186801984996,FALSE,-0.0399518469038224
"Stanford_Orion_Endometrium_Tris_20min","CD45RO",0.298508709089477,FALSE,0.707106781186548
"Stanford_Orion_Endometrium_Tris_20min","PD1",0.309541792503045,FALSE,-0.21722683587808
"Stanford_Orion_Endometrium_Tris_20min","CD31",0.949881859878141,FALSE,0.520386646613924
"Stanford_Orion_Endometrium_Tris_20min","aSMA",0.810481824044535,FALSE,0.420037533411839
"Stanford_Orion_Endometrium_Tris_20min","HLA ABC",0.133229241806701,FALSE,-0.727204997060889
"Stanford_Orion_Endometrium_Tris_20min","Vimentin",0.410506149697692,FALSE,-0.330353358154679
"Stanford_Orion_Endometrium_Tris_40min","CD68",0.416709979126687,FALSE,-0.702195389997619
"Stanford_Orion_Endometrium_Tris_40min","CK",0.355900323393373,FALSE,-0.73584287856873
"Stanford_Orion_Endometrium_Tris_40min","CD163",0.270097448804212,FALSE,-0.0573376025106867
"Stanford_Orion_Endometrium_Tris_40min","CD8a",0.14303579574043,FALSE,-1.16850490355531
"Stanford_Orion_Endometrium_Tris_40min","CD4",0.191015053819662,FALSE,-0.799013107078408
"Stanford_Orion_Endometrium_Tris_40min","PDL1",0.188432548513645,FALSE,-1.04132399186173
"Stanford_Orion_Endometrium_Tris_40min","CD3e",0.396980226754491,FALSE,-0.988270012834009
"Stanford_Orion_Endometrium_Tris_40min","CD45RO",0.178249676986059,FALSE,-0.707106781186547
"Stanford_Orion_Endometrium_Tris_40min","PD1",0.162043413698713,FALSE,-0.873531874943229
"Stanford_Orion_Endometrium_Tris_40min","CD31",0.656309552822453,FALSE,-0.592508580881999
"Stanford_Orion_Endometrium_Tris_40min","aSMA",0.589281926925235,FALSE,-0.549538841009063
"Stanford_Orion_Endometrium_Tris_40min","HLA ABC",0.123557963847496,FALSE,-0.791824992422309
"Stanford_Orion_Endometrium_Tris_40min","Vimentin",0.308572552824396,FALSE,-1.03629632378772
