"Marker","Best_Condition","Worst_Condition","Min_CV","Max_CV","CV_Range","Failed_Conditions","Excluded_Conditions"
"CD31","Stanford_Orion_Endometrium_Citra_20min","Stanford_Orion_Endometrium_Tris_10min",0.534628626783706,1.10961309309637,0.57498446631266,0,0
"CD3e","Stanford_Orion_Endometrium_Tris_40min","Stanford_Orion_Endometrium_Tris_10min",0.396980226754491,0.958956158781384,0.561975932026892,0,0
"aSMA","Stanford_Orion_Endometrium_Citra_20min","Stanford_Orion_Endometrium_Tris_10min",0.473685272707184,0.985167533386129,0.511482260678945,0,0
"PD1","Stanford_Orion_Endometrium_Tris_40min","Stanford_Orion_Endometrium_Citra_20min",0.162043413698713,0.603499230209852,0.441455816511138,1,1
"CK","Stanford_Orion_Endometrium_Citra_20min","Stanford_Orion_Endometrium_Tris_10min",0.317538956082714,0.752642119707787,0.435103163625073,0,0
"CD4","Stanford_Orion_Endometrium_Tris_40min","Stanford_Orion_Endometrium_Citra_20min",0.191015053819662,0.625524570210967,0.434509516391305,1,1
"PDL1","Stanford_Orion_Endometrium_Tris_40min","Stanford_Orion_Endometrium_Citra_20min",0.188432548513645,0.607645059984844,0.419212511471199,1,1
"CD68","Stanford_Orion_Endometrium_Citra_20min","Stanford_Orion_Endometrium_Tris_20min",0.355971572463616,0.726265720287171,0.370294147823555,0,0
"Vimentin","Stanford_Orion_Endometrium_Tris_40min","Stanford_Orion_Endometrium_Tris_10min",0.308572552824396,0.652822616661231,0.344250063836835,0,0
"HLA ABC","Stanford_Orion_Endometrium_Tris_40min","Stanford_Orion_Endometrium_Tris_10min",0.123557963847496,0.443674407431733,0.320116443584237,0,0
"CD163","Stanford_Orion_Endometrium_Citra_20min","Stanford_Orion_Endometrium_Tris_20min",0.149022575316572,0.356277816162176,0.207255240845603,0,0
"CD45RO","Stanford_Orion_Endometrium_Tris_40min","Stanford_Orion_Endometrium_Citra_20min",0.178249676986059,0.298508709089477,0.120259032103418,2,2
"CD8a","Stanford_Orion_Endometrium_Tris_40min","Stanford_Orion_Endometrium_Tris_10min",0.14303579574043,0.243140536784141,0.100104741043712,0,0
