"Staining_condition","Marker","CV","Is_Excluded","Z_score"
"Stanford_Orion_LN_CA20min","CD68",0.36952592974112,FALSE,-0.23031323615267
"Stanford_Orion_LN_CA20min","CD163",0.716390971059569,FALSE,0.880095807527383
"Stanford_Orion_LN_CA20min","CD8a",0.616439081199697,FALSE,1.48617384438963
"Stanford_Orion_LN_CA20min","CD4",0.487482009328207,FALSE,1.42461170080529
"Stanford_Orion_LN_CA20min","PDL1",0.510960517974521,FALSE,1.41468437661423
"Stanford_Orion_LN_CA20min","CD3e",0.509416070360364,FALSE,1.3052982266578
"Stanford_Orion_LN_CA20min","CD45RO",NA,TRUE,NA
"Stanford_Orion_LN_CA20min","PD1",0.528865931834964,FALSE,1.4930880338133
"Stanford_Orion_LN_CA20min","CD31",0.714098323635434,FALSE,1.33927093506203
"Stanford_Orion_LN_CA20min","SMA",0.735705673779119,FALSE,1.4927331465266
"Stanford_Orion_LN_CA20min","HLAABC",0.30400634061296,FALSE,1.44912342557779
"Stanford_Orion_LN_CA20min","Vimentin",0.469609848937754,FALSE,1.08231050974013
"Stanford_Orion_LN_Tris10min","CD68",0.522873510628571,FALSE,1.46916311062627
"Stanford_Orion_LN_Tris10min","CD163",0.714088692645836,FALSE,0.844096657113393
"Stanford_Orion_LN_Tris10min","CD8a",0.457209552520842,FALSE,-0.436774185830425
"Stanford_Orion_LN_Tris10min","CD4",0.313833983002898,FALSE,-0.0830153502644458
"Stanford_Orion_LN_Tris10min","PDL1",0.227764341988131,FALSE,-0.755480922418211
"Stanford_Orion_LN_Tris10min","CD3e",0.439565818347911,FALSE,0.160484865630944
"Stanford_Orion_LN_Tris10min","CD45RO",0.0944568511290895,FALSE,0.540252377826804
"Stanford_Orion_LN_Tris10min","PD1",0.204261280565116,FALSE,-0.493717760708405
"Stanford_Orion_LN_Tris10min","CD31",0.602286557484056,FALSE,0.178485892075705
"Stanford_Orion_LN_Tris10min","SMA",0.463814561131237,FALSE,-0.370311722215549
"Stanford_Orion_LN_Tris10min","HLAABC",0.224203911503543,FALSE,-0.148559756717029
"Stanford_Orion_LN_Tris10min","Vimentin",0.424460188389736,FALSE,0.55730116632608
"Stanford_Orion_LN_Tris20min","CD68",0.325138447422018,FALSE,-0.722238024648348
"Stanford_Orion_LN_Tris20min","CD163",0.612334706874339,FALSE,-0.746960713342321
"Stanford_Orion_LN_Tris20min","CD8a",0.463007832512225,FALSE,-0.366750797702576
"Stanford_Orion_LN_Tris20min","CD4",0.266680820369698,FALSE,-0.4924031505964
"Stanford_Orion_LN_Tris20min","PDL1",0.240989659937863,FALSE,-0.654133769748474
"Stanford_Orion_LN_Tris20min","CD3e",0.40416626690777,FALSE,-0.419697428569011
"Stanford_Orion_LN_Tris20min","CD45RO",0.0832353089162166,FALSE,-1.15392227749343
"Stanford_Orion_LN_Tris20min","PD1",0.222465387860098,FALSE,-0.382295987433512
"Stanford_Orion_LN_Tris20min","CD31",0.522258403912566,FALSE,-0.65233439527965
"Stanford_Orion_LN_Tris20min","SMA",0.443031139381712,FALSE,-0.512723318049882
"Stanford_Orion_LN_Tris20min","HLAABC",0.205485046022883,FALSE,-0.523320486482336
"Stanford_Orion_LN_Tris20min","Vimentin",0.331387209951044,FALSE,-0.524970166538529
"Stanford_Orion_LN_Tris40min","CD68",0.343692560596952,FALSE,-0.516611849825254
"Stanford_Orion_LN_Tris40min","CD163",0.59760802488608,FALSE,-0.977231751298457
"Stanford_Orion_LN_Tris40min","CD8a",0.436849923449635,FALSE,-0.682648860856625
"Stanford_Orion_LN_Tris40min","CD4",0.225585850736567,FALSE,-0.849193199944441
"Stanford_Orion_LN_Tris40min","PDL1",0.325689413919405,FALSE,-0.00506968444754053
"Stanford_Orion_LN_Tris40min","CD3e",0.365947481582214,FALSE,-1.04608566371974
"Stanford_Orion_LN_Tris40min","CD45RO",0.0949431397286166,FALSE,0.613669899666628
"Stanford_Orion_LN_Tris40min","PD1",0.184107271613724,FALSE,-0.617074285671383
"Stanford_Orion_LN_Tris40min","CD31",0.501732855397341,FALSE,-0.86542243185808
"Stanford_Orion_LN_Tris40min","SMA",0.428878724961676,FALSE,-0.609698106261172
"Stanford_Orion_LN_Tris40min","HLAABC",0.19280190072657,FALSE,-0.777243182378429
"Stanford_Orion_LN_Tris40min","Vimentin",0.280676758213698,FALSE,-1.11464150952768
