"Marker","Best_Condition","Worst_Condition","Min_CV","Max_CV","CV_Range","Failed_Conditions","Excluded_Conditions"
"PD1","Stanford_Orion_LN_Tris40min","Stanford_Orion_LN_CA20min",0.184107271613724,0.528865931834964,0.344758660221239,0,0
"SMA","Stanford_Orion_LN_Tris40min","Stanford_Orion_LN_CA20min",0.428878724961676,0.735705673779119,0.306826948817443,0,0
"PDL1","Stanford_Orion_LN_Tris10min","Stanford_Orion_LN_CA20min",0.227764341988131,0.510960517974521,0.28319617598639,0,0
"CD4","Stanford_Orion_LN_Tris40min","Stanford_Orion_LN_CA20min",0.225585850736567,0.487482009328207,0.26189615859164,0,0
"CD31","Stanford_Orion_LN_Tris40min","Stanford_Orion_LN_CA20min",0.501732855397341,0.714098323635434,0.212365468238093,0,0
"CD68","Stanford_Orion_LN_Tris20min","Stanford_Orion_LN_Tris10min",0.325138447422018,0.522873510628571,0.197735063206554,0,0
"Vimentin","Stanford_Orion_LN_Tris40min","Stanford_Orion_LN_CA20min",0.280676758213698,0.469609848937754,0.188933090724057,0,0
"CD8a","Stanford_Orion_LN_Tris40min","Stanford_Orion_LN_CA20min",0.436849923449635,0.616439081199697,0.179589157750062,0,0
"CD3e","Stanford_Orion_LN_Tris40min","Stanford_Orion_LN_CA20min",0.365947481582214,0.509416070360364,0.14346858877815,0,0
"CD163","Stanford_Orion_LN_Tris40min","Stanford_Orion_LN_CA20min",0.59760802488608,0.716390971059569,0.118782946173489,0,0
"HLAABC","Stanford_Orion_LN_Tris40min","Stanford_Orion_LN_CA20min",0.19280190072657,0.30400634061296,0.11120443988639,0,0
"CD45RO","Stanford_Orion_LN_Tris20min","Stanford_Orion_LN_CA20min",0.0832353089162166,0.0949431397286166,0.0117078308124,1,1
