"Staining_condition","Marker","CV","Is_Excluded","Z_score"
"Stanford_Orion_LymphNode_Citra_20min","CD68",0.288922464877083,FALSE,-0.465792707591093
"Stanford_Orion_LymphNode_Citra_20min","CD163",0.629069626735176,FALSE,0.199138399151208
"Stanford_Orion_LymphNode_Citra_20min","CD8a",0.579808849091262,FALSE,1.47190514454073
"Stanford_Orion_LymphNode_Citra_20min","CD4",0.462035794520704,FALSE,1.40175675931503
"Stanford_Orion_LymphNode_Citra_20min","PDL1",0.467305698976707,FALSE,1.38051212560214
"Stanford_Orion_LymphNode_Citra_20min","CD3e",0.4641808350787,FALSE,1.17478502520052
"Stanford_Orion_LymphNode_Citra_20min","CD45RO",NA,TRUE,NA
"Stanford_Orion_LymphNode_Citra_20min","PD1",0.470295928093017,FALSE,1.49159579541781
"Stanford_Orion_LymphNode_Citra_20min","CD31",0.623628529663656,FALSE,1.23948160912827
"Stanford_Orion_LymphNode_Citra_20min","aSMA",0.691163931464735,FALSE,1.48879702931701
"Stanford_Orion_LymphNode_Citra_20min","HLA ABC",0.274976908861992,FALSE,1.39786258314983
"Stanford_Orion_LymphNode_Citra_20min","Vimentin",0.416838674366857,FALSE,0.813959850154915
"Stanford_Orion_LymphNode_Tris_10min","CD68",0.461896371529444,FALSE,1.49444831609805
"Stanford_Orion_LymphNode_Tris_10min","CD163",0.694511597097405,FALSE,1.32618955440648
"Stanford_Orion_LymphNode_Tris_10min","CD8a",0.445098664944896,FALSE,-0.448592180425521
"Stanford_Orion_LymphNode_Tris_10min","CD4",0.304919240238631,FALSE,-0.0231894015407055
"Stanford_Orion_LymphNode_Tris_10min","PDL1",0.204169737084715,FALSE,-0.812681352422658
"Stanford_Orion_LymphNode_Tris_10min","CD3e",0.415321223312072,FALSE,0.341020784635304
"Stanford_Orion_LymphNode_Tris_10min","CD45RO",0.0727316790306376,FALSE,0.861769920785266
"Stanford_Orion_LymphNode_Tris_10min","PD1",0.170990866904137,FALSE,-0.492095032664073
"Stanford_Orion_LymphNode_Tris_10min","CD31",0.560772420886622,FALSE,0.371999788642041
"Stanford_Orion_LymphNode_Tris_10min","aSMA",0.473045627659032,FALSE,-0.369527474230592
"Stanford_Orion_LymphNode_Tris_10min","HLA ABC",0.216130051501452,FALSE,-0.0113957468484632
"Stanford_Orion_LymphNode_Tris_10min","Vimentin",0.418720720954881,FALSE,0.839473344723048
"Stanford_Orion_LymphNode_Tris_20min","CD68",0.27568521732835,FALSE,-0.615804904158439
"Stanford_Orion_LymphNode_Tris_20min","CD163",0.581253011208204,FALSE,-0.624366325290519
"Stanford_Orion_LymphNode_Tris_20min","CD8a",0.457025873215245,FALSE,-0.278551795411777
"Stanford_Orion_LymphNode_Tris_20min","CD4",0.254114115383737,FALSE,-0.483959229039636
"Stanford_Orion_LymphNode_Tris_20min","PDL1",0.223322167851085,FALSE,-0.653049100171382
"Stanford_Orion_LymphNode_Tris_20min","CD3e",0.375603430866368,FALSE,-0.336742993218507
"Stanford_Orion_LymphNode_Tris_20min","CD45RO",0.0639454067764625,FALSE,-1.09647826919487
"Stanford_Orion_LymphNode_Tris_20min","PD1",0.189358555198079,FALSE,-0.370360322742929
"Stanford_Orion_LymphNode_Tris_20min","CD31",0.483833404769476,FALSE,-0.689841280846951
"Stanford_Orion_LymphNode_Tris_20min","aSMA",0.462629897701847,FALSE,-0.458267418857215
"Stanford_Orion_LymphNode_Tris_20min","HLA ABC",0.196251886055626,FALSE,-0.48743595521478
"Stanford_Orion_LymphNode_Tris_20min","Vimentin",0.322705036225674,FALSE,-0.462139307366553
"Stanford_Orion_LymphNode_Tris_40min","CD68",0.2935941277064,FALSE,-0.412850704348522
"Stanford_Orion_LymphNode_Tris_40min","CD163",0.565192567513764,FALSE,-0.900961628267176
"Stanford_Orion_LymphNode_Tris_40min","CD8a",0.42432436943784,FALSE,-0.744761168703428
"Stanford_Orion_LymphNode_Tris_40min","CD4",0.208835394045195,FALSE,-0.894608128734687
"Stanford_Orion_LymphNode_Tris_40min","PDL1",0.311898352089556,FALSE,0.0852183269919029
"Stanford_Orion_LymphNode_Tris_40min","CD3e",0.326242451404476,FALSE,-1.17906281661732
"Stanford_Orion_LymphNode_Tris_40min","CD45RO",0.0699181777986618,FALSE,0.234708348409611
"Stanford_Orion_LymphNode_Tris_40min","PD1",0.150313055901082,FALSE,-0.629140440010811
"Stanford_Orion_LymphNode_Tris_40min","CD31",0.46703769503732,FALSE,-0.921640116923362
"Stanford_Orion_LymphNode_Tris_40min","aSMA",0.438834186785219,FALSE,-0.661002136229198
"Stanford_Orion_LymphNode_Tris_40min","HLA ABC",0.179064783182067,FALSE,-0.899030881086583
"Stanford_Orion_LymphNode_Tris_40min","Vimentin",0.268917700820127,FALSE,-1.19129388751141
