"Staining_condition","Marker","CV","Is_Excluded","Rank","Score"
"Stanford_Slide13","CD31",0.586507766527427,FALSE,9,9
"Stanford_Slide13","aSMA",0.397305127743554,FALSE,11,11
"Stanford_Slide13","CD68",0.0430152858530345,FALSE,2,2
"Stanford_Slide13","HLAABC",0.318459366838698,FALSE,12,12
"Stanford_Slide13","Vimentin",0.370146878256137,FALSE,11,11
"Stanford_Slide13","CD163",0.294944543486181,FALSE,5,5
"Stanford_Slide13","CD8a",0.0139699588289749,FALSE,8,8
"Stanford_Slide13","CD4",0.197163351513705,FALSE,3,3
"Stanford_Slide13","PDL1",0.212691672991343,FALSE,5,5
"Stanford_Slide13","CD3e",0.354832567759701,FALSE,6,6
"Stanford_Slide13","CD45RO",0.19409026009096,FALSE,5,5
"Stanford_Slide13","PD1",0.203323181198757,FALSE,8,8
"Stanford_Slide14","CD31",0.48151287161476,FALSE,6,6
"Stanford_Slide14","aSMA",0.230599255478129,FALSE,6,6
"Stanford_Slide14","CD68",0.0698911980697869,FALSE,8,8
"Stanford_Slide14","HLAABC",0.195809506084175,FALSE,3,3
"Stanford_Slide14","Vimentin",0.236055022500627,FALSE,2,2
"Stanford_Slide14","CD163",0.310943526911748,FALSE,8,8
"Stanford_Slide14","CD8a",0.0137443419705391,FALSE,5,5
"Stanford_Slide14","CD4",0.253763918408199,FALSE,9,9
"Stanford_Slide14","PDL1",0.239354901179053,FALSE,6,6
"Stanford_Slide14","CD3e",0.338969825680801,FALSE,4,4
"Stanford_Slide14","CD45RO",0.243229084634957,FALSE,6,6
"Stanford_Slide14","PD1",0.170163055708378,FALSE,4,4
"Stanford_Slide15","CD31",0.499737979305702,FALSE,8,8
"Stanford_Slide15","aSMA",0.20043738833501,FALSE,2,2
"Stanford_Slide15","CD68",0.0624414894754841,FALSE,7,7
"Stanford_Slide15","HLAABC",0.216433867019915,FALSE,4,4
"Stanford_Slide15","Vimentin",0.276897891091014,FALSE,6,6
"Stanford_Slide15","CD163",0.294482551360333,FALSE,4,4
"Stanford_Slide15","CD8a",0.0153051794896117,FALSE,11,11
"Stanford_Slide15","CD4",0.249230350271719,FALSE,7,7
"Stanford_Slide15","PDL1",0.277375647787197,FALSE,8,8
"Stanford_Slide15","CD3e",0.37104720922272,FALSE,9,9
"Stanford_Slide15","CD45RO",0.338620037999469,FALSE,10,10
"Stanford_Slide15","PD1",0.151842241048591,FALSE,2,2
"Stanford_Slide16","CD31",0.444689722765274,FALSE,5,5
"Stanford_Slide16","aSMA",0.216911318968222,FALSE,4,4
"Stanford_Slide16","CD68",0.0764482560344234,FALSE,9,9
"Stanford_Slide16","HLAABC",0.189286354505444,FALSE,2,2
"Stanford_Slide16","Vimentin",0.248904352487512,FALSE,3,3
"Stanford_Slide16","CD163",0.304346995744411,FALSE,7,7
"Stanford_Slide16","CD8a",0.208243669946229,FALSE,12,12
"Stanford_Slide16","CD4",0.242135914508049,FALSE,5,5
"Stanford_Slide16","PDL1",0.255102159251143,FALSE,7,7
"Stanford_Slide16","CD3e",0.359278495553192,FALSE,7,7
"Stanford_Slide16","CD45RO",0.35327342789311,FALSE,11,11
"Stanford_Slide16","PD1",0.218159059966518,FALSE,9,9
