"Marker","Best_Condition","Worst_Condition","Min_CV","Max_CV","CV_Range","Failed_Conditions","Excluded_Conditions"
"CD31","Stanford_Slide8","Stanford_Slide22",0.229183069586011,1.04728195200034,0.81809888241433,0,0
"CD45RO","Stanford_Slide23","Stanford_Slide8",0.116018290933737,0.565176150093644,0.449157859159907,0,0
"PDL1","Stanford_Slide23","Stanford_Slide8",0.140710410238372,0.456127174497489,0.315416764259116,1,1
"aSMA","Stanford_Slide23","Stanford_Slide24",0.156680019726572,0.451441969566446,0.294761949839874,0,0
"Vimentin","Stanford_Slide23","Stanford_Slide8",0.183131460065944,0.462955614342053,0.279824154276109,0,0
"CD163","Stanford_Slide23","Stanford_Slide8",0.225427000141985,0.482270180898248,0.256843180756263,0,0
"CD4","Stanford_Slide23","Stanford_Slide8",0.172092788767278,0.405553161314901,0.233460372547623,0,0
"CD3e","Stanford_Slide23","Stanford_Slide8",0.260959264982259,0.48701668872166,0.226057423739401,0,0
"PD1","Stanford_Slide8","Stanford_Slide5",0.0780654832935169,0.299028776333214,0.220963293039697,0,0
"CD8a","Stanford_Slide8","Stanford_Slide16",0.0101240118886002,0.208243669946229,0.198119658057628,0,0
"CD68","Stanford_Slide7","Stanford_Slide6",0.0363190899530533,0.214572981245918,0.178253891292865,0,0
"HLAABC","Stanford_Slide24","Stanford_Slide13",0.185302276058587,0.318459366838698,0.133157090780111,0,0
