"Marker","Best_Condition","Worst_Condition","Min_CV","Max_CV","CV_Range","Failed_Conditions","Excluded_Conditions"
"Ki67","StorageConditionsExpt_4","StorageConditionsExpt_1",0.49602607105458,0.652145744512116,0.156119673457536,0,0
"CD11c","StorageConditionsExpt_4","StorageConditionsExpt_1",0.342139176988153,0.463534924837551,0.121395747849397,0,0
"PD1","StorageConditionsExpt_3","StorageConditionsExpt_1",0.314264223031706,0.425847203791154,0.111582980759448,0,0
"CD3","StorageConditionsExpt_4","StorageConditionsExpt_1",0.314364996623311,0.391137674278497,0.0767726776551859,0,0
"CD8","StorageConditionsExpt_4","StorageConditionsExpt_1",0.569075144039808,0.630670277106245,0.0615951330664364,0,0
"GranzymeB","StorageConditionsExpt_4","StorageConditionsExpt_2",0.173703897561083,0.22644506168968,0.0527411641285975,0,0
"CD20","StorageConditionsExpt_4","StorageConditionsExpt_1",0.281703405938482,0.329175574737275,0.0474721687987932,0,0
"PAX5","StorageConditionsExpt_3","StorageConditionsExpt_1",0.243404292448872,0.288534710881365,0.0451304184324927,0,0
"HLADRA","StorageConditionsExpt_4","StorageConditionsExpt_1",0.230988943342935,0.270290681772421,0.0393017384294862,0,0
"IDO1","StorageConditionsExpt_1","StorageConditionsExpt_2",0.206600106081325,0.23885296225417,0.0322528561728454,0,0
"CD68","StorageConditionsExpt_3","StorageConditionsExpt_1",0.232716042837283,0.264752511137347,0.0320364683000637,0,0
"FoxP3","StorageConditionsExpt_3","StorageConditionsExpt_2",0.129368342719529,0.155064799335296,0.0256964566157672,0,0
"ToxTox2","StorageConditionsExpt_4","StorageConditionsExpt_1",0.179852183554969,0.201508987095546,0.0216568035405768,0,0
"NAKATP","StorageConditionsExpt_3","StorageConditionsExpt_1",0.128743031887728,0.149285160871411,0.0205421289836832,0,0
"CD45","StorageConditionsExpt_3","StorageConditionsExpt_1",0.188352582238521,0.205038433156759,0.0166858509182372,0,0
"H3K27ac","StorageConditionsExpt_3","StorageConditionsExpt_1",0.143652180828162,0.156541554682214,0.0128893738540516,0,0
"H3K27me3","StorageConditionsExpt_2","StorageConditionsExpt_4",0.163776993810303,0.173631418901959,0.0098544250916554,0,0
