"Staining_condition","Marker","CV","Is_Excluded","Z_score"
"UKentucky_SCC_1","CD68",0.176239856655259,FALSE,-0.49313472753228
"UKentucky_SCC_1","FoxP3",0.283701487071405,FALSE,-0.0738524583275079
"UKentucky_SCC_1","MHC",0.175826472294259,FALSE,-0.395349421882304
"UKentucky_SCC_1","CD20",0.217990420355034,FALSE,-0.140930446228839
"UKentucky_SCC_1","CD206",0.0655784669092019,FALSE,-0.584392307858717
"UKentucky_SCC_1","CD45",0.166661542695909,FALSE,-0.26855626785948
"UKentucky_SCC_1","CD4",0.35365415149636,FALSE,-0.951629533080992
"UKentucky_SCC_1","CD8",0.150146541052227,FALSE,-0.25912999800641
"UKentucky_SCC_1","CD86",0.156973627468672,FALSE,-0.495565237403231
"UKentucky_SCC_1","Ki67",0.428245871380447,FALSE,-0.385750118005159
"UKentucky_SCC_1","SMA",0.0807382512306601,FALSE,-0.763621288453578
"UKentucky_SCC_1","PDL1",0.214444116037188,FALSE,-0.826603278143096
"UKentucky_SCC_1","Vimentin",0.19428084379978,FALSE,-0.518741684992811
"UKentucky_SCC_1","CD27",0.268995050913891,FALSE,-1.36181185138347
"UKentucky_SCC_1","CK",0.370654626750657,FALSE,-0.447437334781904
"UKentucky_SCC_1","GZMB",0.145945886833486,FALSE,-0.587556862769602
"UKentucky_SCC_1","CD3",0.278978940257825,FALSE,-0.799559488770761
"UKentucky_SCC_1","PD1",0.193152069520034,FALSE,-0.797836561517235
"UKentucky_SCC_2","CD68",0.15600377666326,FALSE,-0.727027333088423
"UKentucky_SCC_2","FoxP3",0.221415941349866,FALSE,-0.864968221500005
"UKentucky_SCC_2","MHC",0.162848139340034,FALSE,-0.741154316161284
"UKentucky_SCC_2","CD20",0.20055307080524,FALSE,-0.790159645506188
"UKentucky_SCC_2","CD206",0.0718410297648419,FALSE,-0.45758511782455
"UKentucky_SCC_2","CD45",0.152955747490797,FALSE,-0.616389423376209
"UKentucky_SCC_2","CD4",0.361339983612654,FALSE,-0.764899004629197
"UKentucky_SCC_2","CD8",0.139897477606969,FALSE,-0.511523570068675
"UKentucky_SCC_2","CD86",0.158935522405953,FALSE,-0.455283188487478
"UKentucky_SCC_2","Ki67",0.387674421887303,FALSE,-1.1509049965207
"UKentucky_SCC_2","SMA",0.103515015888572,FALSE,0.303511164617859
"UKentucky_SCC_2","PDL1",0.218636557945235,FALSE,-0.724853853444823
"UKentucky_SCC_2","Vimentin",0.192712216220383,FALSE,-0.602119353022712
"UKentucky_SCC_2","CD27",0.290003744847276,FALSE,-0.109524137351465
"UKentucky_SCC_2","CK",0.331875954998323,FALSE,-1.00840452556221
"UKentucky_SCC_2","GZMB",0.151171567042402,FALSE,-0.470466106420739
"UKentucky_SCC_2","CD3",0.288219426922228,FALSE,-0.581990799974674
"UKentucky_SCC_2","PD1",0.195826632079121,FALSE,-0.729553049698508
"UKentucky_SCC_24","CD68",0.346211598057971,FALSE,1.47143219863687
"UKentucky_SCC_24","FoxP3",0.40128212105603,FALSE,1.41959023229156
"UKentucky_SCC_24","MHC",0.246065446038901,FALSE,1.47615294869934
"UKentucky_SCC_24","CD20",0.260611264515976,FALSE,1.44593322523212
"UKentucky_SCC_24","CD206",0.168384383133485,FALSE,1.49726813304988
"UKentucky_SCC_24","CD45",0.235593297413747,FALSE,1.48083144733621
"UKentucky_SCC_24","CD4",0.422619888901645,FALSE,0.72392210477662
"UKentucky_SCC_24","CD8",0.220560194658281,FALSE,1.47487756771033
"UKentucky_SCC_24","CD86",0.25411280431062,FALSE,1.49891723911816
"UKentucky_SCC_24","Ki67",0.511492576095932,FALSE,1.18423624011498
"UKentucky_SCC_24","SMA",0.124428859980889,FALSE,1.28336243342552
"UKentucky_SCC_24","PDL1",0.302803543601016,FALSE,1.31785599367959
"UKentucky_SCC_24","Vimentin",0.232132939936834,FALSE,1.49322058533987
"UKentucky_SCC_24","CD27",0.30150242144169,FALSE,0.575889790447748
"UKentucky_SCC_24","CK",0.493473572463861,FALSE,1.32924546114672
"UKentucky_SCC_24","GZMB",0.238975104276175,FALSE,1.49692994036882
"UKentucky_SCC_24","CD3",0.37330697466969,FALSE,1.42140868196019
"UKentucky_SCC_24","PD1",0.276896312680552,FALSE,1.34021438747698
"UKentucky_SCC_3","CD68",0.197165662193414,FALSE,-0.251270138016168
"UKentucky_SCC_3","FoxP3",0.251664389023858,FALSE,-0.480769552464053
"UKentucky_SCC_3","MHC",0.17791694556077,FALSE,-0.33964921065575
"UKentucky_SCC_3","CD20",0.20794767083567,FALSE,-0.514843133497095
"UKentucky_SCC_3","CD206",0.0719543426590525,FALSE,-0.455290707366611
"UKentucky_SCC_3","CD45",0.153763660883115,FALSE,-0.595885756100518
"UKentucky_SCC_3","CD4",0.433678940978536,FALSE,0.99260643293357
"UKentucky_SCC_3","CD8",0.132072401427657,FALSE,-0.704223999635244
"UKentucky_SCC_3","CD86",0.15441649588348,FALSE,-0.548068813227451
"UKentucky_SCC_3","Ki67",0.467386425579507,FALSE,0.352418874410884
"UKentucky_SCC_3","SMA",0.0794654928857879,FALSE,-0.8232523095898
"UKentucky_SCC_3","PDL1",0.258128347551328,FALSE,0.233601137908334
"UKentucky_SCC_3","Vimentin",0.197034807345458,FALSE,-0.372359547324345
"UKentucky_SCC_3","CD27",0.306863380182661,FALSE,0.895446198287192
"UKentucky_SCC_3","CK",0.410336565570975,FALSE,0.126596399197392
"UKentucky_SCC_3","GZMB",0.152580029619539,FALSE,-0.438906971178475
"UKentucky_SCC_3","CD3",0.311244648532588,FALSE,-0.0398583932147607
"UKentucky_SCC_3","PD1",0.231733501126824,FALSE,0.187175223738759
