"Marker","Best_Condition","Worst_Condition","Min_CV","Max_CV","CV_Range","Failed_Conditions","Excluded_Conditions"
"CD68","UKentucky_SCC_2","UKentucky_SCC_24",0.15600377666326,0.346211598057971,0.190207821394711,0,0
"FoxP3","UKentucky_SCC_2","UKentucky_SCC_24",0.221415941349866,0.40128212105603,0.179866179706164,0,0
"CK","UKentucky_SCC_2","UKentucky_SCC_24",0.331875954998323,0.493473572463861,0.161597617465538,0,0
"Ki67","UKentucky_SCC_2","UKentucky_SCC_24",0.387674421887303,0.511492576095932,0.123818154208629,0,0
"CD206","UKentucky_SCC_1","UKentucky_SCC_24",0.0655784669092019,0.168384383133485,0.102805916224283,0,0
"CD86","UKentucky_SCC_3","UKentucky_SCC_24",0.15441649588348,0.25411280431062,0.0996963084271402,0,0
"CD3","UKentucky_SCC_1","UKentucky_SCC_24",0.278978940257825,0.37330697466969,0.0943280344118653,0,0
"GZMB","UKentucky_SCC_1","UKentucky_SCC_24",0.145945886833486,0.238975104276175,0.0930292174426884,0,0
"CD8","UKentucky_SCC_3","UKentucky_SCC_24",0.132072401427657,0.220560194658281,0.0884877932306249,0,0
"PDL1","UKentucky_SCC_1","UKentucky_SCC_24",0.214444116037188,0.302803543601016,0.0883594275638274,0,0
"PD1","UKentucky_SCC_1","UKentucky_SCC_24",0.193152069520034,0.276896312680552,0.0837442431605182,0,0
"MHC","UKentucky_SCC_2","UKentucky_SCC_24",0.162848139340034,0.246065446038901,0.0832173066988666,0,0
"CD45","UKentucky_SCC_2","UKentucky_SCC_24",0.152955747490797,0.235593297413747,0.0826375499229498,0,0
"CD4","UKentucky_SCC_1","UKentucky_SCC_3",0.35365415149636,0.433678940978536,0.0800247894821765,0,0
"CD20","UKentucky_SCC_2","UKentucky_SCC_24",0.20055307080524,0.260611264515976,0.0600581937107353,0,0
"SMA","UKentucky_SCC_3","UKentucky_SCC_24",0.0794654928857879,0.124428859980889,0.044963367095101,0,0
"Vimentin","UKentucky_SCC_2","UKentucky_SCC_24",0.192712216220383,0.232132939936834,0.0394207237164506,0,0
"CD27","UKentucky_SCC_1","UKentucky_SCC_3",0.268995050913891,0.306863380182661,0.03786832926877,0,0
