"Marker","Best_Condition","Worst_Condition","Min_CV","Max_CV","CV_Range","Failed_Conditions","Excluded_Conditions"
"CD68","UK_Skin_Tris_40min","UK_Skin_Citra_20min",0.130541202281361,0.292218322741338,0.161677120459977,0,0
"CK","UK_Skin_Tris_40min","UK_Skin_Citra_20min",0.303005017510238,0.456204579209364,0.153199561699126,0,0
"FOXP3","UK_Skin_Tris_10min","UK_Skin_Citra_20min",0.284254449095056,0.411124370945985,0.126869921850929,0,0
"Granzyme B","UK_Skin_Tris_20min","UK_Skin_Citra_20min",0.152146691087107,0.259465488177846,0.107318797090739,0,0
"Ki67","UK_Skin_Tris_40min","UK_Skin_Citra_20min",0.350723074958858,0.457430297664446,0.106707222705588,0,0
"CD206","UK_Skin_Tris_20min","UK_Skin_Citra_20min",0.0593509864788253,0.163102190536145,0.10375120405732,0,0
"CD86","UK_Skin_Tris_10min","UK_Skin_Citra_20min",0.160260736868271,0.26164011114351,0.101379374275239,0,0
"CD3","UK_Skin_Tris_20min","UK_Skin_Citra_20min",0.28398248970408,0.378488502165671,0.0945060124615906,0,0
"PDL1","UK_Skin_Tris_20min","UK_Skin_Citra_20min",0.238662787934434,0.33111485547197,0.0924520675375361,0,0
"PD1","UK_Skin_Tris_20min","UK_Skin_Citra_20min",0.19987257341304,0.288406739679755,0.0885341662667148,0,0
"CD4","UK_Skin_Tris_20min","UK_Skin_Tris_10min",0.322377629135009,0.401480656116911,0.0791030269819022,0,0
"MHCII","UK_Skin_Tris_40min","UK_Skin_Citra_20min",0.0991737580421111,0.159551111087021,0.0603773530449099,0,0
"CD8","UK_Skin_Tris_10min","UK_Skin_Citra_20min",0.05793708482631,0.111780418673657,0.0538433338473468,0,0
"CD45","UK_Skin_Tris_10min","UK_Skin_Citra_20min",0.0656315001014459,0.116232649096578,0.0506011489951316,0,0
"CD20","UK_Skin_Tris_40min","UK_Skin_Citra_20min",0.122308962615889,0.167221341144947,0.044912378529058,0,0
"aSMA","UK_Skin_Tris_10min","UK_Skin_Citra_20min",0.0535483709609967,0.0904369047942473,0.0368885338332506,0,0
"CD27","UK_Skin_Tris_20min","UK_Skin_Tris_10min",0.234394703268862,0.268580953033585,0.0341862497647225,0,0
"Vimentin","UK_Skin_Tris_40min","UK_Skin_Citra_20min",0.133487399763409,0.166884425787008,0.0333970260235991,0,0
