"Marker","Best_Condition","Worst_Condition","Min_CV","Max_CV","CV_Range","Failed_Conditions","Excluded_Conditions"
"CD68","UKentucky_Tonsil_1","UKentucky_Tonsil_24",0.274268549119135,0.536808808718522,0.262540259599387,0,0
"FoxP3","UKentucky_Tonsil_1","UKentucky_Tonsil_2",0.191101233514569,0.426520585414072,0.235419351899504,0,0
"CK","UKentucky_Tonsil_1","UKentucky_Tonsil_24",0.356140351722552,0.57802149746912,0.221881145746568,0,0
"PDL1","UKentucky_Tonsil_1","UKentucky_Tonsil_2",0.315423780301788,0.484687974087072,0.169264193785284,0,0
"SMA","UKentucky_Tonsil_1","UKentucky_Tonsil_24",0.189130439501899,0.35767497947659,0.168544539974691,0,0
"CD86","UKentucky_Tonsil_1","UKentucky_Tonsil_2",0.253545631051012,0.414468554824122,0.16092292377311,0,0
"GZMB","UKentucky_Tonsil_1","UKentucky_Tonsil_2",0.247143212394257,0.391703911784493,0.144560699390236,0,0
"PD1","UKentucky_Tonsil_1","UKentucky_Tonsil_2",0.353975519938173,0.496668640322731,0.142693120384559,0,0
"CD27","UKentucky_Tonsil_1","UKentucky_Tonsil_2",0.280943474516278,0.422623848872062,0.141680374355784,0,0
"CD8","UKentucky_Tonsil_1","UKentucky_Tonsil_24",0.265600947373848,0.406143561963581,0.140542614589734,0,0
"CD3","UKentucky_Tonsil_1","UKentucky_Tonsil_2",0.366918104438614,0.491541405619724,0.12462330118111,0,0
"Ki67","UKentucky_Tonsil_1","UKentucky_Tonsil_3",0.513323783399445,0.625243056480839,0.111919273081394,0,0
"CD4","UKentucky_Tonsil_1","UKentucky_Tonsil_2",0.348250281564807,0.458602792340152,0.110352510775346,0,0
"CD206","UKentucky_Tonsil_1","UKentucky_Tonsil_24",0.0811047270288243,0.165045602533114,0.08394087550429,0,0
"CD45","UKentucky_Tonsil_1","UKentucky_Tonsil_2",0.185117860867488,0.25529432966992,0.0701764688024322,0,0
"MHC","UKentucky_Tonsil_1","UKentucky_Tonsil_24",0.288733939428825,0.354045223789663,0.0653112843608381,0,0
"CD20","UKentucky_Tonsil_1","UKentucky_Tonsil_24",0.407858288699761,0.463210664774895,0.0553523760751339,0,0
"Vimentin","UKentucky_Tonsil_1","UKentucky_Tonsil_3",0.220226308928155,0.263829458074526,0.0436031491463705,0,0
