"Staining_condition","Marker","CV","Is_Excluded"
"UK_Tonsil_Citra_20min","CD68",0.46019945145731,FALSE
"UK_Tonsil_Citra_20min","FOXP3",0.200226710723828,FALSE
"UK_Tonsil_Citra_20min","MHCII",0.323163588280882,FALSE
"UK_Tonsil_Citra_20min","CD20",0.425274949303676,FALSE
"UK_Tonsil_Citra_20min","CD206",0.155636227277668,FALSE
"UK_Tonsil_Citra_20min","CD45",0.215639126922717,FALSE
"UK_Tonsil_Citra_20min","CD4",0.348246479340253,FALSE
"UK_Tonsil_Citra_20min","CD8",0.364985548572677,FALSE
"UK_Tonsil_Citra_20min","CD86",0.274186713864821,FALSE
"UK_Tonsil_Citra_20min","Ki67",0.520154169634159,FALSE
"UK_Tonsil_Citra_20min","aSMA",0.321554668553311,FALSE
"UK_Tonsil_Citra_20min","PDL1",0.334146800437141,FALSE
"UK_Tonsil_Citra_20min","Vimentin",0.248969815627019,FALSE
"UK_Tonsil_Citra_20min","CD27",0.242804905405928,FALSE
"UK_Tonsil_Citra_20min","CK",0.483586880318694,FALSE
"UK_Tonsil_Citra_20min","Granzyme B",0.345336399821699,FALSE
"UK_Tonsil_Citra_20min","CD3",0.375273478577405,FALSE
"UK_Tonsil_Citra_20min","PD1",0.349836833733623,FALSE
"UK_Tonsil_Tris_10min","CD68",0.275453736927363,FALSE
"UK_Tonsil_Tris_10min","FOXP3",0.216416785860234,FALSE
"UK_Tonsil_Tris_10min","MHCII",0.300562148880588,FALSE
"UK_Tonsil_Tris_10min","CD20",0.417670187644485,FALSE
"UK_Tonsil_Tris_10min","CD206",0.105372010606001,FALSE
"UK_Tonsil_Tris_10min","CD45",0.187053319708343,FALSE
"UK_Tonsil_Tris_10min","CD4",0.391357570308102,FALSE
"UK_Tonsil_Tris_10min","CD8",0.238864907116808,FALSE
"UK_Tonsil_Tris_10min","CD86",0.273846905205832,FALSE
"UK_Tonsil_Tris_10min","Ki67",0.547985079303144,FALSE
"UK_Tonsil_Tris_10min","aSMA",0.199194537328894,FALSE
"UK_Tonsil_Tris_10min","PDL1",0.364437543853385,FALSE
"UK_Tonsil_Tris_10min","Vimentin",0.250699458885886,FALSE
"UK_Tonsil_Tris_10min","CD27",0.276100953636243,FALSE
"UK_Tonsil_Tris_10min","CK",0.330268754494259,FALSE
"UK_Tonsil_Tris_10min","Granzyme B",0.272792883985677,FALSE
"UK_Tonsil_Tris_10min","CD3",0.388250765488245,FALSE
"UK_Tonsil_Tris_10min","PD1",0.382648923751414,FALSE
"UK_Tonsil_Tris_20min","CD68",0.235929688968902,FALSE
"UK_Tonsil_Tris_20min","FOXP3",0.218125403175039,FALSE
"UK_Tonsil_Tris_20min","MHCII",0.27060777416591,FALSE
"UK_Tonsil_Tris_20min","CD20",0.382237529999553,FALSE
"UK_Tonsil_Tris_20min","CD206",0.0766765296887639,FALSE
"UK_Tonsil_Tris_20min","CD45",0.177245545417636,FALSE
"UK_Tonsil_Tris_20min","CD4",0.324815245465674,FALSE
"UK_Tonsil_Tris_20min","CD8",0.242822035145218,FALSE
"UK_Tonsil_Tris_20min","CD86",0.244973129894522,FALSE
"UK_Tonsil_Tris_20min","Ki67",0.46223310757032,FALSE
"UK_Tonsil_Tris_20min","aSMA",0.172303115907112,FALSE
"UK_Tonsil_Tris_20min","PDL1",0.29726381136508,FALSE
"UK_Tonsil_Tris_20min","Vimentin",0.221052736383171,FALSE
"UK_Tonsil_Tris_20min","CD27",0.254272734958479,FALSE
"UK_Tonsil_Tris_20min","CK",0.307065140362075,FALSE
"UK_Tonsil_Tris_20min","Granzyme B",0.244419740286523,FALSE
"UK_Tonsil_Tris_20min","CD3",0.34416217587495,FALSE
"UK_Tonsil_Tris_20min","PD1",0.323436367821995,FALSE
"UK_Tonsil_Tris_40min","CD68",0.286614091221894,FALSE
"UK_Tonsil_Tris_40min","FOXP3",0.433967267929876,FALSE
"UK_Tonsil_Tris_40min","MHCII",0.289077470757716,FALSE
"UK_Tonsil_Tris_40min","CD20",0.42551523824169,FALSE
"UK_Tonsil_Tris_40min","CD206",0.15236660946138,FALSE
"UK_Tonsil_Tris_40min","CD45",0.239868969985978,FALSE
"UK_Tonsil_Tris_40min","CD4",0.422963522705346,FALSE
"UK_Tonsil_Tris_40min","CD8",0.28969745087968,FALSE
"UK_Tonsil_Tris_40min","CD86",0.395926561222575,FALSE
"UK_Tonsil_Tris_40min","Ki67",0.479183922284428,FALSE
"UK_Tonsil_Tris_40min","aSMA",0.233090030568947,FALSE
"UK_Tonsil_Tris_40min","PDL1",0.441762160775835,FALSE
"UK_Tonsil_Tris_40min","Vimentin",0.243813589482953,FALSE
"UK_Tonsil_Tris_40min","CD27",0.380316687318262,FALSE
"UK_Tonsil_Tris_40min","CK",0.367622105621726,FALSE
"UK_Tonsil_Tris_40min","Granzyme B",0.379350884638377,FALSE
"UK_Tonsil_Tris_40min","CD3",0.448449694187432,FALSE
"UK_Tonsil_Tris_40min","PD1",0.455844085990541,FALSE
