"Staining_condition","Marker","CV","Is_Excluded","Z_score"
"UK_Tonsil_Citra_20min","CD68",0.46019945145731,FALSE,1.46374484190516
"UK_Tonsil_Citra_20min","FOXP3",0.200226710723828,FALSE,-0.600616907577904
"UK_Tonsil_Citra_20min","MHCII",0.323163588280882,FALSE,1.24171260770971
"UK_Tonsil_Citra_20min","CD20",0.425274949303676,FALSE,0.611207465521097
"UK_Tonsil_Citra_20min","CD206",0.155636227277668,FALSE,0.866563866789495
"UK_Tonsil_Citra_20min","CD45",0.215639126922717,FALSE,0.376181201921419
"UK_Tonsil_Citra_20min","CD4",0.348246479340253,FALSE,-0.53845784007035
"UK_Tonsil_Citra_20min","CD8",0.364985548572677,FALSE,1.37895559970681
"UK_Tonsil_Citra_20min","CD86",0.274186713864821,FALSE,-0.342929821014013
"UK_Tonsil_Citra_20min","Ki67",0.520154169634159,FALSE,0.456387632397242
"UK_Tonsil_Citra_20min","aSMA",0.321554668553311,FALSE,1.38571378184807
"UK_Tonsil_Citra_20min","PDL1",0.334146800437141,FALSE,-0.411374597500251
"UK_Tonsil_Citra_20min","Vimentin",0.248969815627019,FALSE,0.571829909895927
"UK_Tonsil_Citra_20min","CD27",0.242804905405928,FALSE,-0.725251842995453
"UK_Tonsil_Citra_20min","CK",0.483586880318694,FALSE,1.42199215119204
"UK_Tonsil_Citra_20min","Granzyme B",0.345336399821699,FALSE,0.557219731450216
"UK_Tonsil_Citra_20min","CD3",0.375273478577405,FALSE,-0.314760368061041
"UK_Tonsil_Citra_20min","PD1",0.349836833733623,FALSE,-0.490439330796674
"UK_Tonsil_Tris_10min","CD68",0.275453736927363,FALSE,-0.392899154570956
"UK_Tonsil_Tris_10min","FOXP3",0.216416785860234,FALSE,-0.455389601055385
"UK_Tonsil_Tris_10min","MHCII",0.300562148880588,FALSE,0.214117359084201
"UK_Tonsil_Tris_10min","CD20",0.417670187644485,FALSE,0.24232551186166
"UK_Tonsil_Tris_10min","CD206",0.105372010606001,FALSE,-0.448433273897423
"UK_Tonsil_Tris_10min","CD45",0.187053319708343,FALSE,-0.629999626504699
"UK_Tonsil_Tris_10min","CD4",0.391357570308102,FALSE,0.445197547464896
"UK_Tonsil_Tris_10min","CD8",0.238864907116808,FALSE,-0.770978622272405
"UK_Tonsil_Tris_10min","CD86",0.273846905205832,FALSE,-0.347986117969967
"UK_Tonsil_Tris_10min","Ki67",0.547985079303144,FALSE,1.17136717188446
"UK_Tonsil_Tris_10min","aSMA",0.199194537328894,FALSE,-0.497843785202407
"UK_Tonsil_Tris_10min","PDL1",0.364437543853385,FALSE,0.0820111952445755
"UK_Tonsil_Tris_10min","Vimentin",0.250699458885886,FALSE,0.698051503888106
"UK_Tonsil_Tris_10min","CD27",0.276100953636243,FALSE,-0.195328749942183
"UK_Tonsil_Tris_10min","CK",0.330268754494259,FALSE,-0.534175656518954
"UK_Tonsil_Tris_10min","Granzyme B",0.272792883985677,FALSE,-0.602304905040383
"UK_Tonsil_Tris_10min","CD3",0.388250765488245,FALSE,-0.0179164469993492
"UK_Tonsil_Tris_10min","PD1",0.382648923751414,FALSE,0.0821456297002507
"UK_Tonsil_Tris_20min","CD68",0.235929688968902,FALSE,-0.790105046708793
"UK_Tonsil_Tris_20min","FOXP3",0.218125403175039,FALSE,-0.440063057576359
"UK_Tonsil_Tris_20min","MHCII",0.27060777416591,FALSE,-1.14778586252886
"UK_Tonsil_Tris_20min","CD20",0.382237529999553,FALSE,-1.47639606826989
"UK_Tonsil_Tris_20min","CD206",0.0766765296887639,FALSE,-1.19915571334753
"UK_Tonsil_Tris_20min","CD45",0.177245545417636,FALSE,-0.975219699768089
"UK_Tonsil_Tris_20min","CD4",0.324815245465674,FALSE,-1.07308266444599
"UK_Tonsil_Tris_20min","CD8",0.242822035145218,FALSE,-0.703522852377597
"UK_Tonsil_Tris_20min","CD86",0.244973129894522,FALSE,-0.77762314560799
"UK_Tonsil_Tris_20min","Ki67",0.46223310757032,FALSE,-1.03161167389791
"UK_Tonsil_Tris_20min","aSMA",0.172303115907112,FALSE,-0.911798394443899
"UK_Tonsil_Tris_20min","PDL1",0.29726381136508,FALSE,-1.0121370994981
"UK_Tonsil_Tris_20min","Vimentin",0.221052736383171,FALSE,-1.46543310587316
"UK_Tonsil_Tris_20min","CD27",0.254272734958479,FALSE,-0.542735657739502
"UK_Tonsil_Tris_20min","CK",0.307065140362075,FALSE,-0.830227820891897
"UK_Tonsil_Tris_20min","Granzyme B",0.244419740286523,FALSE,-1.05581696266141
"UK_Tonsil_Tris_20min","CD3",0.34416217587495,FALSE,-1.02640380686184
"UK_Tonsil_Tris_20min","PD1",0.323436367821995,FALSE,-0.951138716995881
"UK_Tonsil_Tris_40min","CD68",0.286614091221894,FALSE,-0.28074064062541
"UK_Tonsil_Tris_40min","FOXP3",0.433967267929876,FALSE,1.49606956620965
"UK_Tonsil_Tris_40min","MHCII",0.289077470757716,FALSE,-0.308044104265046
"UK_Tonsil_Tris_40min","CD20",0.42551523824169,FALSE,0.622863090887137
"UK_Tonsil_Tris_40min","CD206",0.15236660946138,FALSE,0.781025120455456
"UK_Tonsil_Tris_40min","CD45",0.239868969985978,FALSE,1.22903812435137
"UK_Tonsil_Tris_40min","CD4",0.422963522705346,FALSE,1.16634295705144
"UK_Tonsil_Tris_40min","CD8",0.28969745087968,FALSE,0.0955458749431886
"UK_Tonsil_Tris_40min","CD86",0.395926561222575,FALSE,1.46853908459197
"UK_Tonsil_Tris_40min","Ki67",0.479183922284428,FALSE,-0.5961431303838
"UK_Tonsil_Tris_40min","aSMA",0.233090030568947,FALSE,0.0239283977982377
"UK_Tonsil_Tris_40min","PDL1",0.441762160775835,FALSE,1.34150050175378
"UK_Tonsil_Tris_40min","Vimentin",0.243813589482953,FALSE,0.195551692089123
"UK_Tonsil_Tris_40min","CD27",0.380316687318262,FALSE,1.46331625067714
"UK_Tonsil_Tris_40min","CK",0.367622105621726,FALSE,-0.0575886737811878
"UK_Tonsil_Tris_40min","Granzyme B",0.379350884638377,FALSE,1.10090213625158
"UK_Tonsil_Tris_40min","CD3",0.448449694187432,FALSE,1.35908062192223
"UK_Tonsil_Tris_40min","PD1",0.455844085990541,FALSE,1.3594324180923
