"Marker","Best_Condition","Worst_Condition","Min_CV","Max_CV","CV_Range","Failed_Conditions","Excluded_Conditions"
"FOXP3","UK_Tonsil_Citra_20min","UK_Tonsil_Tris_40min",0.200226710723828,0.433967267929876,0.233740557206048,0,0
"CD68","UK_Tonsil_Tris_20min","UK_Tonsil_Citra_20min",0.235929688968902,0.46019945145731,0.224269762488407,0,0
"CK","UK_Tonsil_Tris_20min","UK_Tonsil_Citra_20min",0.307065140362075,0.483586880318694,0.176521739956619,0,0
"CD86","UK_Tonsil_Tris_20min","UK_Tonsil_Tris_40min",0.244973129894522,0.395926561222575,0.150953431328053,0,0
"aSMA","UK_Tonsil_Tris_20min","UK_Tonsil_Citra_20min",0.172303115907112,0.321554668553311,0.149251552646199,0,0
"PDL1","UK_Tonsil_Tris_20min","UK_Tonsil_Tris_40min",0.29726381136508,0.441762160775835,0.144498349410755,0,0
"CD27","UK_Tonsil_Citra_20min","UK_Tonsil_Tris_40min",0.242804905405928,0.380316687318262,0.137511781912334,0,0
"Granzyme B","UK_Tonsil_Tris_20min","UK_Tonsil_Tris_40min",0.244419740286523,0.379350884638377,0.134931144351854,0,0
"PD1","UK_Tonsil_Tris_20min","UK_Tonsil_Tris_40min",0.323436367821995,0.455844085990541,0.132407718168546,0,0
"CD8","UK_Tonsil_Tris_10min","UK_Tonsil_Citra_20min",0.238864907116808,0.364985548572677,0.126120641455869,0,0
"CD3","UK_Tonsil_Tris_20min","UK_Tonsil_Tris_40min",0.34416217587495,0.448449694187432,0.104287518312483,0,0
"CD4","UK_Tonsil_Tris_20min","UK_Tonsil_Tris_40min",0.324815245465674,0.422963522705346,0.0981482772396727,0,0
"Ki67","UK_Tonsil_Tris_20min","UK_Tonsil_Tris_10min",0.46223310757032,0.547985079303144,0.085751971732824,0,0
"CD206","UK_Tonsil_Tris_20min","UK_Tonsil_Citra_20min",0.0766765296887639,0.155636227277668,0.078959697588904,0,0
"CD45","UK_Tonsil_Tris_20min","UK_Tonsil_Tris_40min",0.177245545417636,0.239868969985978,0.0626234245683417,0,0
"MHCII","UK_Tonsil_Tris_20min","UK_Tonsil_Citra_20min",0.27060777416591,0.323163588280882,0.0525558141149721,0,0
"CD20","UK_Tonsil_Tris_20min","UK_Tonsil_Tris_40min",0.382237529999553,0.42551523824169,0.0432777082421373,0,0
"Vimentin","UK_Tonsil_Tris_20min","UK_Tonsil_Tris_10min",0.221052736383171,0.250699458885886,0.0296467225027146,0,0
