"Staining_condition","Total_Markers","Working_Markers","Excluded_Markers","NonWorking_Markers","Total_Score","Average_Score","Average_Rank","Penalty_Count"
"Stanford_Slide23",12,12,0,0,41,3.41666666666667,3.41666666666667,0
"Stanford_Slide7",12,12,0,0,52,4.33333333333333,4.33333333333333,0
"Stanford_Slide14",12,12,0,0,67,5.58333333333333,5.58333333333333,0
"Stanford_Slide5",12,12,0,0,69,5.75,5.75,0
"Stanford_Slide15",12,12,0,0,78,6.5,6.5,0
"Stanford_Slide21",12,12,0,0,80,6.66666666666667,6.66666666666667,0
"Stanford_Slide16",12,12,0,0,81,6.75,6.75,0
"Stanford_Slide13",12,12,0,0,85,7.08333333333333,7.08333333333333,0
"Stanford_Slide24",12,12,0,0,88,7.33333333333333,7.33333333333333,0
"Stanford_Slide6",12,12,0,0,90,7.5,7.5,0
"Stanford_Slide22",12,12,0,0,103,8.58333333333333,8.58333333333333,0
"Stanford_Slide8",12,11,1,0,108,9,8.18181818181818,1
