marker,.y.,n,statistic,df,p,method,p.adj,p.adj.signif
CD163,value,758031,203950.6468320002,11,0,Kruskal-Wallis,0,****
CD31,value,758031,272842.3945599468,11,0,Kruskal-Wallis,0,****
CD3e,value,758031,226273.20697409293,11,0,Kruskal-Wallis,0,****
CD4,value,758031,292207.4638336384,11,0,Kruskal-Wallis,0,****
CD45RO,value,758031,517615.77042392764,11,0,Kruskal-Wallis,0,****
CD68,value,758031,356105.4442857396,11,0,Kruskal-Wallis,0,****
CD8a,value,758031,276070.2054352496,11,0,Kruskal-Wallis,0,****
CK,value,758031,522665.58801212476,11,0,Kruskal-Wallis,0,****
FOXP3,value,758031,429965.8571034427,11,0,Kruskal-Wallis,0,****
HLAABC,value,758031,144779.1907469318,11,0,Kruskal-Wallis,0,****
Hoechst,value,758031,2617.7389144260355,11,0,Kruskal-Wallis,0,****
PD1,value,758031,367852.7392565839,11,0,Kruskal-Wallis,0,****
PDL1,value,758031,450295.5253522516,11,0,Kruskal-Wallis,0,****
Vimentin,value,758031,323635.7626450994,11,0,Kruskal-Wallis,0,****
aSMA,value,758031,308102.3530474419,11,0,Kruskal-Wallis,0,****
